,USDA_biomass_carbon,USDA_soil_carbon,biomass_carbon,soil_carbon
0,2.1,129.3,2.1,129.3
5,9.5,112.3,13.615317262905565,123.2548886994719
15,33.7,100.6,34.51318741763265,113.89433299465817
25,55.0,100.3,53.995153450410946,107.71260246019295
35,74.5,102.8,71.93894610850512,104.238467577665
45,89.5,106.2,88.1821595835633,103.02726084888766
55,102.8,109.4,102.66181136568224,103.6642880414233
65,114.8,112.6,115.40462891037879,105.77292004405011
75,125.5,115.3,126.50074516508938,109.01962334359942
85,135.2,117.7,136.07914071349546,113.11557668464573
95,143.8,119.8,144.28839841073605,117.81564044308263
105,151.3,121.6,151.28288402360394,122.91555282964545
115,157.9,123.4,157.21350338722542,128.24809389853846
125,163.7,124.8,162.2219950901698,133.6787772689661
