,USDA_biomass_carbon,USDA_soil_carbon,biomass_carbon,soil_carbon
0,2.1,108.0,2.1,108.0
5,9.0,90.9,18.27905798064543,99.95735061841388
15,44.9,77.3,46.208178422416886,87.46418376859984
25,73.8,72.4,71.82512505390412,78.93831353995535
35,98.0,71.8,95.62338381231494,73.62869894210066
45,120.0,73.1,117.68428130163866,70.9152581102128
55,138.6,74.9,138.03416053002744,70.27432981323747
65,156.1,76.8,156.7058647642897,71.26275966988172
75,172.4,78.7,173.7509606338337,73.50694689845503
85,187.8,80.6,189.23924154072876,76.69392476227488
95,202.2,82.2,203.25470171526356,80.5635783661556
105,215.6,83.7,215.89089911969214,84.90167899014583
115,228.2,85.3,227.24671707899807,89.53360840514601
125,239.9,86.7,237.4228458123917,94.31871547530451
