,USDA_biomass_carbon,USDA_soil_carbon,biomass_carbon,soil_carbon
0,4.2,126.6,4.2,126.6
5,10.4,110.7,12.97710026555277,120.60471895294505
15,30.3,99.4,31.24602715594155,111.01906424113432
25,51.5,97.6,50.16433143442702,104.46025800730462
35,70.5,99.3,68.73280919029142,100.6498242843
45,87.2,102.1,86.11130671880579,99.2309172125971
55,101.5,105.1,101.75928843417238,99.80350532987457
65,115.3,108.3,115.42081419312436,101.96200250499905
75,125.9,111.1,127.05970745561453,105.32442974045286
85,135.4,113.6,136.7856464524746,109.55074560507941
95,143.9,115.9,144.79031362304474,114.35153492396186
105,151.4,118.0,151.30005095688009,119.48954798921983
115,157.9,119.9,156.54464797052304,124.77665959970487
125,163.5,121.6,160.73906956861282,130.0683486240274
