,USDA_biomass_carbon,USDA_soil_carbon,biomass_carbon,soil_carbon
0,4.2,56.3,4.2,56.3
5,14.4,49.2,13.867597529417536,54.5813245063516
10,24.9,48.1,23.2850373995559,53.1866349357968
15,33.7,47.9,32.7509869530371,52.102637139597746
20,42.9,48.6,42.26746660698928,51.320183059649196
25,51.5,49.3,51.78229210641342,50.82972935362048
30,59.7,50.4,61.229728544515055,50.620413089111366
35,68.6,51.4,70.54363816037728,50.67989515520439
40,79.1,52.6,79.66297158938046,50.99447133079985
45,88.5,53.7,88.53426251570302,51.549293432335155
50,97.5,54.7,97.11265901825132,52.328633799347585
55,106.0,55.7,105.36213315876113,53.316159165630935
60,114.0,56.6,113.25519506630776,54.49519480501948
65,121.4,57.5,120.77230459969543,55.84896786118291
70,128.6,58.3,127.90110710064536,57.36082369162544
75,134.9,59.0,134.63558083085246,59.014412313675464
80,140.8,59.7,140.97515787590237,60.79384426854676
85,146.5,60.4,146.92386170478633,62.68381674172197
90,151.6,60.9,152.4894905899045,64.66971178557422
