,USDA_biomass_carbon,USDA_soil_carbon,biomass_carbon,soil_carbon
0,4.2,64.4,4.2,64.4
5,13.1,58.2,14.690676056182935,63.036946548624385
10,25.1,57.6,24.93838930729606,61.94667475517241
15,35.4,57.9,34.90070315957608,61.11657640063971
20,45.1,58.5,44.54118708048547,60.533427766428055
25,54.1,59.2,53.828858696431496,60.18353525147012
30,62.3,60.0,62.73821599164669,60.052872497745625
35,70.9,60.8,71.24926518683068,60.12721526077825
40,79.4,61.6,79.34744249492039,60.39227274948847
45,87.3,62.4,87.02341426408525,60.83381285292758
50,94.2,63.2,94.27276615246866,61.437778667412466
55,101.0,63.9,101.095601992282,62.19039415530494
60,108.0,64.5,107.49607665255445,63.07825733747759
65,113.4,65.2,113.48188753944102,64.0884200285802
70,118.7,65.8,119.0637477018925,65.20845370389515
75,124.5,66.4,124.25486062258682,66.4265016012
80,129.2,66.9,129.07041323172382,67.7313175896562
85,133.4,67.5,133.52709991305784,69.1122926714858
90,137.8,68.0,137.64268659716143,70.5594702213233
