,USDA_biomass_carbon,USDA_soil_carbon,biomass_carbon,soil_carbon
0,4.1,74.5,4.1,74.5
5,14.9,64.6,16.025387191102624,69.53506787447591
10,38.1,62.2,39.126069389175946,65.48995097421599
15,72.5,61.9,71.93281890251613,62.70188871147975
20,102.9,62.2,102.37948086522165,61.2716093887457
25,122.0,62.4,120.8622978740076,60.8513523101761
30,130.5,62.4,129.19011681230992,60.951044028030665
35,131.6,62.3,132.40978680580804,61.25161648518889
40,132.5,62.4,133.57770596585445,61.60936764610819
45,133.5,62.4,133.9913696357635,61.970053466883044
50,134.4,62.5,134.13663606719248,62.3152463490034
55,134.4,62.7,134.18749558389274,62.63958489416023
60,134.4,62.9,134.2052832720988,62.942273201607016
65,134.4,63.0,134.21150206265676,63.224044414019374
70,134.4,63.2,134.21367594534715,63.48609595954737
75,134.4,63.4,134.2144358281477,63.729721327334545
80,134.4,63.5,134.21470144171283,63.95618590550827
85,134.4,63.7,134.21479428520877,64.16668791558692
90,134.4,63.9,134.21482673798673,64.36234879914284
