,USDA_biomass_carbon,USDA_soil_carbon,biomass_carbon,soil_carbon
0,4.1,143.3,4.1,143.3
5,12.8,133.2,13.523200587766846,138.43175198000196
10,31.1,130.3,32.79743957602281,134.23626207519993
15,63.9,129.7,63.15784012877358,131.1084935536851
20,94.9,129.9,94.88867361280299,129.31889463678465
25,117.2,130.2,115.66542746303077,128.6583085532864
30,126.5,130.1,125.1108098300119,128.62573878167404
35,127.7,130.0,128.63599187379543,128.84863880286403
40,128.7,130.0,129.84847510880712,129.15544891717835
45,129.7,130.0,130.2534376802493,129.48249112533512
50,130.7,130.1,130.38735111073694,129.80818425243382
55,130.7,130.3,130.4314871763582,130.12561338133943
60,130.7,130.5,130.4460179150461,130.43277290347822
65,130.7,130.6,130.45080008666557,130.72927284257693
70,130.7,130.8,130.45237374726224,131.01524622813233
75,130.7,131.0,130.45289156869015,131.29098891461956
80,130.7,131.1,130.4530619584076,131.5568412928517
85,130.7,131.3,130.45311802509673,131.8131496806213
90,130.7,131.5,130.4531364737995,132.06025393056606
