,USDA_biomass_carbon,USDA_soil_carbon,biomass_carbon,soil_carbon
0,4.1,105.5,4.1,105.5
5,15.0,96.0,15.230422088920072,101.19791505605131
10,35.7,93.6,37.31056662807848,97.55641566101527
15,71.1,93.7,70.97155669106098,94.92012249347124
20,106.0,94.2,105.03011235282924,93.49538874519956
25,127.9,94.7,126.76308760154377,93.05793188738636
30,137.8,94.8,136.49639670837112,93.15358449321083
35,139.1,94.8,140.10563945276746,93.45899699555471
40,140.2,94.8,141.34420668012706,93.82817229379614
45,141.1,94.8,141.75760214433404,94.20754210522142
50,142.2,94.9,141.8942881288234,94.57923694231538
55,142.2,95.1,141.93934109919707,94.93777176317265
60,142.2,95.3,141.95417564298987,95.28179121298415
65,142.2,95.4,141.9590585352045,95.61128744307284
70,142.2,95.6,141.96066559269818,95.92667802680526
75,142.2,95.8,141.96119448795557,96.22850251970831
80,142.2,95.9,141.96136854943057,96.517323291785
85,142.2,96.2,141.96142583350647,96.79369362960342
90,142.2,96.3,141.96144468581727,97.0581479531101
