,Sterman,NE_OH trf_linear ,NE_OH trf_linear (constrained),NE_OH trf_soft_l1 ,NE_OH trf_soft_l1 (constrained),NE_OH trf_huber ,NE_OH trf_huber (constrained),NE_OH trf_cauchy ,NE_OH trf_cauchy (constrained),NE_OH trf_arctan ,NE_OH trf_arctan (constrained),NE_OH dogbox_linear (constrained),NE_OH dogbox_soft_l1 ,NE_OH dogbox_soft_l1 (constrained),NE_OH dogbox_huber (constrained),NE_OH dogbox_cauchy ,NE_OH dogbox_arctan ,NE_OH dogbox_arctan (constrained)
forest_start,2.1,1.0280307155949732e-36,1.1000000000000003,147.69857041167478,1.1000000018762257,1.3324442237336058,1.5223922124043419,1.86087395828815,1.7939657512083416,2.047134526189608,2.0995946485171264,2.0999212122491384,249.99999631308035,2.0999978076059924,2.0999938212812475,249.97659552615096,249.99998834806598,2.099998672646485
soil_start,108.0,99.35253426564557,107.00000000000001,79.7021928320887,107.00000000000001,94.48779272344066,107.00000000000001,97.75567479105456,107.81023695307094,99.09118059155033,107.94845405799758,107.99905075145311,249.9999989013746,107.99999776667735,107.99999727834768,250.12131562473328,249.99839620884387,107.99998484687768
B,1358.99,999.9729774709546,999.9920847082835,25.667133600125673,999.9999999063771,934.4061177004979,810.6875738890807,267.9341535171636,467.74309152657196,181.3595149395572,84.63498893205461,259.26568690099106,441.274423453978,524.7426132790711,495.90407259904396,547.0380953877755,550.5549472306244,499.9999980542276
phi_ab,0.0665428,0.0009155518276774005,0.002186564328579373,0.47116880644393294,0.0062843472398430135,0.0029846725286001227,0.005846117439724107,0.49999999999999994,0.4999999999991924,0.49999999999999994,0.499999999999366,0.15601364999126627,0.22904440134198562,0.25763833344701065,0.5,0.0914474184680387,0.2672335680110769,0.29069265304612335
k,0.00439655,0.0029220209896322303,0.0028548316645738547,0.049750989412884306,0.0031791071405492866,0.0034689417071763384,0.0036702452068815413,0.004787394441258884,0.004244263744420013,0.007268064889277237,0.0016067933612312429,0.0,0.027698537312273758,0.01909165889463647,0.0016238592450530944,0.04479724478961283,0.022039351205466833,0.023155973413192036
v,0.120641,0.9245772270245481,1.0447995131237418,4.38227471158728e-22,0.5291080233623,0.5315141120591726,0.6689328127065813,0.14460654562751185,0.10470959217815809,0.14985185481532262,0.27487630898028675,0.7205189865205817,0.7476656294787357,0.7514724158155498,0.25676544693934045,1.5,0.7524945805856342,0.6200629250146747
phi_ba,0.00680838,2.160708484598384e-37,8.476895560804259e-40,9.169019365371684e-39,1.3340371808629945e-18,1.0920247529877403e-07,1.5365232541975604e-07,0.04131449811261976,0.04999975362674623,0.04181316776359715,1.8561973122681686e-07,1.494756009163701e-09,0.0022067973331960002,0.05,0.05,0.05,0.05,0.024181418935616966
phi_bs,0.00842004,0.006559359485634566,0.008122658750481,3.43449127607038e-21,0.007253513718394498,0.004997332563649023,0.007142572549702245,0.010329382043860351,0.008681285649425503,0.019999999999999997,2.3308204288490103e-39,0.008403646877899034,0.002100996045138841,0.004074984854817117,0.005243151623742663,0.002217003742362558,0.0015142779421780282,0.003806514916311056
phi_sa,0.0160806,0.012317948120323174,0.015653309463747867,7.487738455843155e-10,0.014024767469452817,0.009171868037296554,0.013818548086923427,0.015176699544208923,0.014699596260127764,0.018639656700555573,0.019999999999999997,0.019032941907384728,0.019999999999519947,0.02,0.019999999999979767,0.018861128108058758,0.018251994367281827,0.02
RMSE,4.334806466744688,3.5003775153916217,4.0130577546114425,55.37640394566343,4.193821759792735,3.900985824561258,4.231045337610287,34.61998399782544,23.843086402107833,61.76502655839547,69.84898740205983,34.10339396345573,207.41714189383643,161.5119136950494,98.14177416785815,202.53504115135405,211.12322273201002,181.42842260381582
