,Sterman,NE_OP trf_linear ,NE_OP trf_linear (constrained),NE_OP trf_soft_l1 ,NE_OP trf_soft_l1 (constrained),NE_OP trf_huber ,NE_OP trf_huber (constrained),NE_OP trf_cauchy ,NE_OP trf_cauchy (constrained),NE_OP trf_arctan ,NE_OP trf_arctan (constrained),NE_OP dogbox_linear ,NE_OP dogbox_linear (constrained),NE_OP dogbox_soft_l1 ,NE_OP dogbox_soft_l1 (constrained),NE_OP dogbox_huber (constrained),NE_OP dogbox_cauchy ,NE_OP dogbox_cauchy (constrained),NE_OP dogbox_arctan ,NE_OP dogbox_arctan (constrained)
forest_start,4.2,1.7095159632404193,3.2000000000000006,0.34032662330419355,3.2000000041964536,0.10332312355191116,3.2000000000000006,145.90890481197246,4.555413627937218,4.202962700185639,4.216642571987557,249.5918447614981,4.19993235706005,249.99999466778476,4.199941967649371,3.6791232102542493,249.577449375713,4.199999272798469,249.99872191846194,4.19999889899686
soil_start,126.6,116.78125124275287,125.60000000000001,112.43526885746974,125.60000000000082,112.3766887646356,125.60000000000001,90.57490317457716,126.14412313485813,110.42896152303042,126.56664178376357,249.77782297473686,126.5995981928481,249.9999988017789,126.59999231562165,125.6,247.2709599897853,126.59999820394862,251.47656424332644,126.599986957711
B,338.89,999.7008541491915,994.9527239496008,245.82627704449646,999.998837867081,246.2314299968663,451.70429248254123,7.2955801434350835,1.7847162749927863,82.06507274496595,150.9510352500022,491.757330886855,236.51668054060983,441.2633641494676,349.3875059481957,1000.0,442.100667699414,778.5112690666216,547.8209928123163,554.3348968447614
phi_ab,0.160851,0.051999178498378616,0.08084061547701578,0.006357463629105413,0.05960939697358526,0.005822419118270745,0.031073675735015193,0.4906298792899389,0.0636496305357136,0.14069623191691943,0.12737438065279982,0.5,0.14523575373343942,0.22899988171115412,0.17720862928438497,0.0684179933528222,0.5,0.5,0.2556500313653763,0.26813067067080465
k,0.00945311,0.0018974438921209188,0.0021041510055811613,0.007928627740249033,0.0019186619272649665,0.007971161046006658,0.004091101610420777,0.04990582356498137,0.019968927919405327,0.006280255563387601,0.0044679172643221285,0.0,0.0,0.027654504522472898,0.0,0.001935459948539086,0.0,0.0030974816918639798,0.022326465505404267,0.020975704197623655
v,0.126451,0.5308065818632955,0.2806423545234676,1.3018102152862743,0.39971653196201823,1.3233205173777955,0.6590946884563145,9.71310096641329e-13,3.0577892073678446e-19,0.8016848320267377,1.4749772399862777,0.1522982508069147,0.7183455275490764,0.74765908217735,0.7352901482383918,0.3436947190228231,0.331995009828892,0.06857265881945439,0.7817703103150357,0.7543396611498343
phi_ba,0.00403601,0.03318021027372328,0.028241433325541215,6.850682492908563e-09,0.028753841415690116,1.0399547580173418e-14,0.010866490351276827,8.667467283736121e-09,5.073945609481976e-15,0.00045041467518215856,0.04677064472362124,0.05,3.541292285337013e-14,0.002946823466662365,0.04756633399838826,0.029460600869926145,0.0008776774706763716,0.04999999757638494,0.049999992679777894,0.05
phi_bs,0.0116687,0.007883948239487341,0.010830308470707912,0.005620562232362587,0.00940980271710952,0.005514792511669456,0.009453853789817541,0.0019626996001726794,4.995039488729643e-15,0.019194728353909573,0.017119217293881665,0.010221153904127157,0.016374181246125625,0.004222635314626855,0.015503893270151461,0.009281130148939755,0.003980802398529233,0.011380690421955369,5.487864294690244e-05,0.004430822214773271
phi_sa,0.0103839,0.006521510280086968,0.009735850325250163,0.004196004274259246,0.00840360122855391,0.004099805620244838,0.008438741683149231,1.5540643773584305e-09,0.0008763152636438497,0.009700819695867077,0.013365220091097052,0.02,0.02,0.019999999998520243,0.02,0.008296838344758516,0.02,0.009577027573514725,0.019979697392543218,0.019994215969248542
RMSE,4.373412596873072,3.4417148948845604,4.126203570350873,3.7065122517021005,4.299854884169601,3.7297831349666177,4.308648229957693,51.121544434777114,75.66007501017897,37.69920818556937,21.520482625940787,117.51406738105217,41.133753033792075,226.91708971146912,39.81985113591667,4.336335898279331,228.28120199501748,6.703320490451783,236.29015948207677,208.45619845570874
