,USDA_biomass,USDA_soil,sterman_biomass,sterman_soil,SC_OH trf_linear _biomass,SC_OH trf_linear _soil,SC_OH trf_linear (constrained)_biomass,SC_OH trf_linear (constrained)_soil,SC_OH trf_soft_l1 _biomass,SC_OH trf_soft_l1 _soil,SC_OH trf_soft_l1 (constrained)_biomass,SC_OH trf_soft_l1 (constrained)_soil,SC_OH trf_huber _biomass,SC_OH trf_huber _soil,SC_OH trf_huber (constrained)_biomass,SC_OH trf_huber (constrained)_soil,SC_OH trf_cauchy (constrained)_biomass,SC_OH trf_cauchy (constrained)_soil,SC_OH trf_arctan _biomass,SC_OH trf_arctan _soil,SC_OH trf_arctan (constrained)_biomass,SC_OH trf_arctan (constrained)_soil,SC_OH dogbox_linear _biomass,SC_OH dogbox_linear _soil,SC_OH dogbox_linear (constrained)_biomass,SC_OH dogbox_linear (constrained)_soil,SC_OH dogbox_soft_l1 _biomass,SC_OH dogbox_soft_l1 _soil,SC_OH dogbox_soft_l1 (constrained)_biomass,SC_OH dogbox_soft_l1 (constrained)_soil,SC_OH dogbox_huber _biomass,SC_OH dogbox_huber _soil,SC_OH dogbox_huber (constrained)_biomass,SC_OH dogbox_huber (constrained)_soil,SC_OH dogbox_cauchy _biomass,SC_OH dogbox_cauchy _soil,SC_OH dogbox_cauchy (constrained)_biomass,SC_OH dogbox_cauchy (constrained)_soil,SC_OH dogbox_arctan _biomass,SC_OH dogbox_arctan _soil,SC_OH dogbox_arctan (constrained)_biomass,SC_OH dogbox_arctan (constrained)_soil
0,4.2,56.3,4.2,56.3,5.429455926363461,50.74495608189079,5.0872772233948265,55.300000000000004,88.49855631310615,54.60727173498671,5.19999990377861,55.300000000000004,88.49987929084088,54.699961501512924,5.199999999999999,55.300000000000004,5.199999999999999,55.300000000000004,47.54388962527912,44.07350125487242,4.23332363463176,56.16816956875484,249.99991376156058,249.99993168942655,4.199780226951768,56.3004160162608,249.99998875237443,249.99999494915042,4.32048312546065,55.30000000020881,194.16747983624904,188.39536397597698,5.2,55.3,249.78942122648226,251.5909056307262,4.199999323296493,56.299997290198775,249.9999166823046,249.99984344029878,4.199997366907995,56.29996459661496
5,14.4,49.2,13.867597529417536,54.5813245063516,14.347021124088164,50.5168806642517,14.203359737074948,53.938316286469885,88.49855623387161,54.60727179464974,14.143834331941637,54.17153352662291,88.49987772845503,54.69996306389215,14.23992636735433,54.235887102910816,14.217104946838155,54.48403077771988,46.337989607922076,45.25826970088709,14.597529003886676,55.29710166180535,353.09418397172783,227.2237736453455,9.041663346648786,51.239601569460696,360.0333878844868,227.54020629380454,12.333941500798172,52.57934992628911,169.08989006208213,170.29448751878704,14.244032400256797,54.23601651152563,345.4332720429478,228.21858762707816,71.78053730060795,52.75069708134488,360.8823294150387,228.84264532208206,139.78404149047046,51.357256892684966
10,24.9,48.1,23.2850373995559,53.1866349357968,23.45845345861148,50.399461588779886,23.398960507949266,52.833486282513405,88.49855615463707,54.60727185431277,23.341104606434175,53.25699130894932,88.49987616606926,54.699964626271345,23.451412828679906,53.376162285006735,23.416254914653948,53.82887385305961,45.16267595746355,46.41189574664921,24.308803371323908,54.616705108707265,402.1129346703803,206.97132426596556,18.812493481030145,47.05601828220283,412.6409610008038,207.09818610499568,20.871620418168412,50.365258316708626,149.7877924249736,153.93272884880142,23.457972178545955,53.37652113734828,394.6082453487695,207.29901094984714,186.8373150212675,50.48417018355771,413.8483619549086,209.64452467368088,347.2200804504275,48.3963552821106
15,33.7,47.9,32.7509869530371,52.102637139597746,32.724965969118905,50.39413511150972,32.74846934410722,51.981270411824866,88.49855607540253,54.6072719139758,32.72306843729292,52.55598850669884,88.49987460368348,54.699966188650514,32.79562358300651,52.719349670528665,32.75785558615981,53.334434255816596,44.017172883351606,47.535169803782615,33.749783290058325,54.11612913133178,420.0049812585176,188.8082674014641,37.042023624609804,44.03781534394322,431.61004801285986,188.49265976580608,29.89711348142173,48.65199031415974,134.8414528468274,139.1429949147601,32.80309170756927,52.7200046025001,415.1078049270933,188.487353218881,291.3400111737495,49.7164135343905,432.8900920213445,192.1614565117099,534.0398017797755,47.57417615201016
20,42.9,48.6,42.26746660698928,51.320183059649196,42.099413786505494,50.50181663662468,42.21067742124836,51.37786554571311,88.498555996168,54.60727197363883,42.2157913318198,52.06667810854356,88.49987304129775,54.69996775102965,42.225932361130205,52.2631743455102,42.19413325311609,52.99992661947555,42.900724272133665,48.628862235718294,42.91371675302827,53.78749695265557,425.86503712226425,172.44049178562096,67.15222454438309,42.6629850097557,437.7055448304936,171.55863821798528,39.347723138603456,47.432098822837226,123.21166063796721,125.774246832627,42.232938243953846,52.264161835585185,422.85681937987016,171.52238753759377,350.8498358984026,50.00469549912958,438.98687697335953,176.20868145085515,635.1672319881814,48.19125030451652
25,51.5,49.3,51.78229210641342,50.82972935362048,51.52697069585333,50.722805319356,51.71576229496914,51.018252831864515,88.49855591693346,54.60727203330186,51.74314640254637,51.78570529162971,88.49987147891204,54.69996931340876,51.68867444930097,52.004430673705414,51.66988292228893,52.823759007090075,41.81259318836789,49.69372386619554,51.74131708211542,53.62246048295785,427.7139744084033,157.66151475287876,109.00908670695435,43.50026548875392,439.5891248508598,156.14595488109717,49.13243867105616,46.69533528001172,114.12743794134833,113.68995741399554,51.69408515306785,52.00576147960379,425.67378080666975,156.20202153431688,376.9731475643206,50.78723825838167,440.8638887624723,161.64084842875909,674.6699728587894,49.395747238427525
30,59.7,50.4,61.229728544515055,50.620413089111366,60.946440584741325,51.05670083379334,61.186025594205624,50.89578890666977,88.49855583769892,54.60727209296489,61.229227111652385,51.70821818591462,88.49986991652634,54.69997087578784,61.12448619339276,51.93887357407916,61.123847479043356,52.80343526190406,40.75206138819336,50.73048647486547,60.170933704058115,53.61174011955057,428.290383836613,144.30757572396703,155.9579766532851,46.90196412663953,440.16404567782973,142.117934013617,59.132593110335705,46.42757760209126,107.00994199554177,102.76671689393558,61.12746462079468,51.94053827825798,426.6830544508748,142.35890779257744,387.17529972573755,51.731425001465325,441.43469495011334,148.33407063564357,687.9905957088108,50.72280705489636
35,68.6,51.4,70.54363816037728,50.67989515520439,70.29206931447914,51.50233911087626,70.54446638457524,51.00215791682765,88.49855575846438,54.60727215262792,70.60059306581631,51.827926835160085,88.4998683541407,54.6999724381669,70.47008402603666,52.06114241533302,70.49057660637482,52.93548452039132,39.71842884523817,51.73986328032412,68.15208914538778,53.745217886308154,428.46940555347004,132.2382556096922,197.90532845926586,52.677888850621244,440.3388647303334,129.35017870734404,69.20581487844971,46.60990167964574,101.42007226110745,92.89297261939802,70.47013384424814,52.06311787721128,427.0427695556357,129.8477184884757,390.9787990183653,52.69340525345473,441.6076268618184,136.17806100277068,692.2495279986156,52.00103417848972
40,79.1,52.6,79.66297158938046,50.99447133079985,79.49576506366051,52.057752570939115,79.71932536942872,51.32748426734879,88.49855567922984,54.60727221229095,79.78830969633577,52.13720563801326,88.49986679175507,54.69997400054593,79.66038868232494,52.36472478646442,79.70266582505072,53.215424542171036,38.711013288552195,52.722549410893905,75.64907259596852,54.01218045652432,428.5249412030378,121.32903760451086,228.53210679837196,60.1207812226924,440.39196159478325,117.72946776737354,79.19349890786759,47.21793740620404,97.0218155038663,83.96788982735319,79.6573810260483,52.36698118957246,427.1707353719649,118.53926707243888,392.372261579471,53.61997702382556,441.65995861492394,125.07295926949213,693.5876176272792,53.181428716310194
45,88.5,53.7,88.53426251570302,51.549293432335155,88.48959404341747,52.72015904216698,88.64671406157267,51.86053018048921,88.4985555999953,54.60727227195398,88.72969135256112,52.6272332305581,88.49986522936946,54.69997556292493,88.63086754422352,52.84196514005479,88.6932384243456,53.63776357070762,37.72914975225976,53.67922236346421,82.64089597099562,54.40159040181262,428.5421630670966,111.46812100688878,247.7604109625918,68.37415376747826,440.4080827758104,107.15275169544168,88.93129719663857,48.2216401977069,93.55618452729422,75.90032187845777,88.62504562436456,52.84447323449705,427.2162278113069,108.31756193318162,392.87951126937014,54.49417649078469,441.67578949807387,114.92780903054238,694.0057013987533,54.25624243984632
