,Sterman,SC_OP trf_linear ,SC_OP trf_linear (constrained),SC_OP trf_soft_l1 (constrained),SC_OP trf_huber (constrained),SC_OP trf_cauchy ,SC_OP trf_cauchy (constrained),SC_OP trf_arctan (constrained),SC_OP dogbox_linear ,SC_OP dogbox_linear (constrained),SC_OP dogbox_soft_l1 ,SC_OP dogbox_soft_l1 (constrained),SC_OP dogbox_huber (constrained),SC_OP dogbox_cauchy ,SC_OP dogbox_cauchy (constrained),SC_OP dogbox_arctan ,SC_OP dogbox_arctan (constrained)
forest_start,4.2,3.6525648093987875,3.5322130417788533,3.7809196187842584,3.7614735730506403,480.07521945225903,4.028224778504402,4.2441414407114,249.82122701630504,4.199819828199617,249.9998705282885,4.201296792222374,4.200000517001189,249.999930631468,4.19999896384864,249.99997836803993,4.199988986824489
soil_start,64.4,59.95395454079061,63.40000000000001,63.40000000000001,63.40000000000001,180.56729831997382,63.40000000000001,64.27456141462794,249.8638467966129,64.40218139575923,249.9999620791488,64.40937405547544,64.40086462131549,249.99990799863326,64.39997035691583,249.99995247725823,64.39759163508074
B,601.541,207.30736801679683,233.28098506026834,964.1851736075291,221.55547580934794,2.2659439105297533e-10,213.0635186364586,65.50865945999351,552.3305937012708,295.36212505030426,440.4205734850882,177.6732234363692,140.2985394631388,441.39525309175417,256.39425332246,442.63001415723016,1000.0
phi_ab,0.0255501,0.0036703035869618287,0.0034350010769452137,0.04394701493644546,0.004729925417093532,0.038351145537790766,0.009802692719054783,0.169353549079841,0.4429031008554602,0.1700377420559241,0.22949890051557326,0.06277882474043406,0.3057499458673468,0.22901239207642843,0.34641321845243894,0.2295464412132121,0.07992783877816266
k,0.00319981,0.009434343447908134,0.008454653434986723,0.0020555055410929795,0.008819816537930285,1.5457107686821705e-12,0.009305943297701392,0.013390573169505416,0.0,0.0,0.02764029680633608,0.003023441214383877,4.54977048477081e-13,0.02778062569618442,0.01660715233241884,0.027812364129844693,0.03191281861511365
v,1.07631,1.228228997194642,1.3055611980483184,1.2787184025548284,1.2000032961578149,0.09160561552023166,0.8938429337169985,1.4999999999999856,0.31428771725540633,0.7242689101498387,0.7457087998080464,1.257801177077235,0.5528822527686363,0.7480217307698309,0.5768259092891507,0.7480453853350123,1.3150358240119353
phi_ba,0.0244426,3.0821206591347554e-07,1.0534436669224249e-07,0.04999628464325445,5.6899567134109005e-06,0.049999999999999996,1.4568547683815733e-09,0.04999982375661883,0.05,5.24301289587573e-08,3.550629326166639e-08,0.0,0.05,0.0,0.05,0.0,0.0
phi_bs,0.00465856,0.0019923580202983976,0.0039583501480554666,0.0034271311812973143,0.0032960581140486418,1.4483351605127504e-06,0.002872399842080989,0.018931826591247473,0.001384626841734545,0.013984256682476177,0.0,0.019959576255543295,0.010388232701951952,9.166009874396026e-18,0.005179695864737687,0.000312580889983987,0.0010888122826195798
phi_sa,0.00488477,0.000929724091266599,0.003918404007483566,0.003290013371246781,0.003134439943808914,0.017002430215657314,0.0026506176833088714,0.012621242448140332,0.02,0.02,0.018650746621503123,0.019999999999999966,0.012592599715198617,0.01831991978876861,0.0138823430057238,0.017814802785614012,0.014226383669650464
RMSE,1.5016858705743343,1.0456393944311904,1.3318511995861757,1.3622452345203557,1.3767617544171078,107.52477218256043,1.4506325567737595,34.82004846145021,216.8075962130864,86.46356004851341,251.72601199979013,10.286054928057245,14.82668567859347,252.45561133663037,69.57232953694013,253.24319024547668,565.7253770787045
