,Sterman,SC_SLP trf_linear ,SC_SLP trf_linear (constrained),SC_SLP trf_soft_l1 ,SC_SLP trf_soft_l1 (constrained),SC_SLP trf_huber ,SC_SLP trf_huber (constrained),SC_SLP trf_cauchy ,SC_SLP trf_cauchy (constrained),SC_SLP trf_arctan ,SC_SLP trf_arctan (constrained),SC_SLP dogbox_linear ,SC_SLP dogbox_linear (constrained),SC_SLP dogbox_soft_l1 ,SC_SLP dogbox_soft_l1 (constrained),SC_SLP dogbox_huber (constrained),SC_SLP dogbox_cauchy ,SC_SLP dogbox_cauchy (constrained),SC_SLP dogbox_arctan ,SC_SLP dogbox_arctan (constrained)
forest_start,4.1,4.01354449035815,3.98208977259876,132.87549992162246,3.8562820001349283,133.41818214057065,4.045756721290293,499.99999999999994,4.377527600098854,4.101986807017806,4.100837422307816,249.99439692723388,3.982047302335314,249.9999617705324,4.100010927088166,4.045683591116006,247.1164441808745,4.099981374996343,249.9999749610595,4.099996437242998
soil_start,74.5,71.49006523310746,73.50000000000001,62.88433022773764,73.9481730532665,62.88125000392025,73.50000000000001,64.53265339771083,73.50000003054639,67.92569570200567,74.48452602433939,249.99594608929087,73.5,249.99998749177632,74.50000435694339,73.5,234.13816598723776,74.49999981725816,249.99993877132812,74.49989487665741
B,166.721,174.7354992461025,175.49635360979107,1.0744969852156698,999.9803437064768,0.10843443003197552,175.14701011633508,161.23653568897498,2.1331797779464896,58.110021862844285,0.03285438933217172,534.0006352499271,138.91510858467524,440.4146596344563,401.0426326698735,138.53540182949538,441.06626863083335,157.34180548374565,442.08767274669884,685.1970589833799
phi_ab,0.23104,0.2844824893765969,0.2847505180915565,0.00014352084289648293,0.012589439754742547,0.006397158076848961,0.2847751975295837,0.18768164762338804,0.33155759188661027,0.2627185505665679,5.748473398268512e-09,0.26348612433727675,0.24067135484996244,0.22865543022326637,0.13979803076612693,0.2406553759268298,0.5,0.39439254396800033,0.22932795072792334,0.3103929320096351
k,0.00491518,0.002751707494934704,0.0028080855419082332,0.0496664590027786,0.009345680837539073,0.04583129610397877,0.0026963303995082588,0.006796887272647327,0.0057811990539938,0.003450803638471943,1.089068969160279e-10,0.02114227998364167,0.0035655189720377443,0.0277440372287115,0.002467432958780119,0.0034265973765246448,0.0,3.5478233978458746e-10,0.027798945601607557,0.018472460190006312
v,0.866791,0.7266714975974856,0.7294045311205988,1.1767335693570132e-17,0.5202524173445346,1.5819666858238324e-20,0.7274085661803749,1.4999999999999998,1.2879151610161056e-18,1.4999998914830115,0.03896830021281362,0.7489407589775439,0.7282515446025362,0.7478259719491851,0.7233937190477023,0.7262996397487015,0.28456469575495713,0.4916393919147893,0.7479982953580856,0.6439085056484037
phi_ba,0.0377219,0.04999995926933478,0.049999667933982854,4.832558764616305e-34,0.049993702130366274,3.056918055220448e-23,0.04999999943985922,0.049999999998357886,7.401796357139928e-11,0.0010386588500391819,4.988819273887164e-06,0.05,0.0,7.26202108755043e-09,0.05,0.0,0.0007201500873805446,0.026005470622856273,0.0,0.05
phi_bs,0.0072412,0.005619186121534606,0.0067264713949755795,2.473539919566711e-33,0.00791180328965939,3.705625570787663e-22,0.006137798929049679,0.002264968158117525,2.7978178460097597e-12,0.013611045624025915,0.00580027921538361,0.0007923296840530475,0.006726474213718066,0.0,0.01248709368251804,0.006137800052822559,0.0007152657898599729,0.007104133958507991,2.256572290655201e-15,0.0020551752353726396
phi_sa,0.0145183,0.011209040946038607,0.013475521924568867,1.7461188357297101e-10,0.015909551044622106,1.1276400519136079e-14,0.012448047292066609,0.004374945500163185,0.002223652552117398,0.011790783582100074,0.01819869057144256,0.02,0.013475527289871279,0.018650683228824287,0.02,0.0124480492432558,0.02,0.014497717367314021,0.018071988479038747,0.01722816926817677
RMSE,1.17373957822687,0.9539684519969395,1.0300278857227592,34.150656401262474,8.24632170150168,34.33318672976324,1.0677855134021896,80.46844922694464,80.66879665264348,47.30549206616273,84.38239260000186,220.39174208658298,1.0300324807358676,230.48783341262038,32.161986339557366,1.0677900867312045,224.18596696691833,2.5207422824359074,231.7597869962281,264.4621347286963
