,USDA_biomass,USDA_soil,sterman_biomass,sterman_soil,SC_SLP trf_linear _biomass,SC_SLP trf_linear _soil,SC_SLP trf_linear (constrained)_biomass,SC_SLP trf_linear (constrained)_soil,SC_SLP trf_soft_l1 _biomass,SC_SLP trf_soft_l1 _soil,SC_SLP trf_soft_l1 (constrained)_biomass,SC_SLP trf_soft_l1 (constrained)_soil,SC_SLP trf_huber _biomass,SC_SLP trf_huber _soil,SC_SLP trf_huber (constrained)_biomass,SC_SLP trf_huber (constrained)_soil,SC_SLP trf_cauchy _biomass,SC_SLP trf_cauchy _soil,SC_SLP trf_cauchy (constrained)_biomass,SC_SLP trf_cauchy (constrained)_soil,SC_SLP trf_arctan _biomass,SC_SLP trf_arctan _soil,SC_SLP trf_arctan (constrained)_biomass,SC_SLP trf_arctan (constrained)_soil,SC_SLP dogbox_linear _biomass,SC_SLP dogbox_linear _soil,SC_SLP dogbox_linear (constrained)_biomass,SC_SLP dogbox_linear (constrained)_soil,SC_SLP dogbox_soft_l1 _biomass,SC_SLP dogbox_soft_l1 _soil,SC_SLP dogbox_soft_l1 (constrained)_biomass,SC_SLP dogbox_soft_l1 (constrained)_soil,SC_SLP dogbox_huber (constrained)_biomass,SC_SLP dogbox_huber (constrained)_soil,SC_SLP dogbox_cauchy _biomass,SC_SLP dogbox_cauchy _soil,SC_SLP dogbox_cauchy (constrained)_biomass,SC_SLP dogbox_cauchy (constrained)_soil,SC_SLP dogbox_arctan _biomass,SC_SLP dogbox_arctan _soil,SC_SLP dogbox_arctan (constrained)_biomass,SC_SLP dogbox_arctan (constrained)_soil
0,4.1,74.5,4.1,74.5,4.01354449035815,71.49006523310746,3.98208977259876,73.50000000000001,132.87549992162246,62.88433022773764,3.8562820001349283,73.9481730532665,133.41818214057065,62.88125000392025,4.045756721290293,73.50000000000001,499.99999999999994,64.53265339771083,4.377527600098854,73.50000003054639,4.101986807017806,67.92569570200567,4.100837422307816,74.48452602433939,249.99439692723388,249.99594608929087,3.982047302335314,73.5,249.9999617705324,249.99998749177632,4.100010927088166,74.50000435694339,4.045683591116006,73.5,247.1164441808745,234.13816598723776,4.099981374996343,74.49999981725816,249.9999749610595,249.99993877132812,4.099996437242998,74.49989487665741
5,14.9,64.6,16.025387191102624,69.53506787447591,14.920756057751698,67.78221449478137,14.91158627190791,68.92921791669934,132.87549992162246,62.88433017283589,44.0074287410642,69.07746988540681,133.41818214057065,62.8812500039167,14.934413833520903,69.26757834239197,15.413837573460578,64.32441204803933,4.377527598417541,72.6864339484632,14.892245138896635,64.51697493658924,3.9831791230421514,68.06249149422698,350.1889783463447,227.10079684991817,14.912014332947821,68.92922945844845,360.0321203057812,227.5401862188852,12.251171505539878,67.77394065379518,14.93483149497406,69.26758883572998,335.9469410794974,212.62569494905156,15.580369315915934,69.52060264073164,361.1007862789164,228.21182764507276,107.51368081403693,68.69608242136383
10,38.1,62.2,39.126069389175946,65.48995097421599,38.162205478491785,64.70456206637547,38.18177964845024,65.16822836306116,132.87549992162246,62.884330117934134,71.12734998794322,65.89378754930225,133.41818214057065,62.881250003913145,38.138074181318316,65.7567330846876,37.76272935679127,63.19193334221496,4.377527596736228,71.881873169369,38.103090506732606,62.36856113844356,3.8688965918585145,62.20068271679094,398.0503848206532,206.70168997743633,38.18134583049943,65.16823827774498,412.63981119299063,207.09815573982,23.48434850131168,62.25610364052631,38.137684165849855,65.75674348639814,389.0324161331334,193.43480346345277,43.388858052002156,65.50242988515745,414.1947443428326,208.32260412968427,273.4840523973357,64.69169927496091
15,72.5,61.9,71.93281890251613,62.70188871147975,72.3557056205725,62.574875869455965,72.40225739763018,62.58387489428688,132.87549992162246,62.88433006303238,90.10275980513461,63.85790404209617,133.41818214057065,62.88125000390959,72.3040231002641,63.30720855959058,72.26078020520092,62.392738220212074,4.377527595054915,71.08621801422886,53.75144203116263,61.841256617881825,3.757892973619545,56.8500380742145,415.69628194383534,188.39018624890355,72.40235175555232,62.583873360249996,431.60925573389414,188.49262112133678,38.128768639251554,58.025169555037635,72.30412305172827,63.30720998375448,415.56778528817716,176.22919546594926,81.8552369096117,62.9242289687782,433.2800330165805,190.16677548750317,420.39329270848606,62.666989937303356
20,102.9,62.2,102.37948086522165,61.2716093887457,103.52619063164474,61.50363295001073,103.57735353402902,61.291816943127614,132.87549992162246,62.884330008130625,103.49796423319333,62.612873411868485,133.41818214057065,62.88125000390604,103.48819277105959,62.03214689519749,106.80945115174077,62.01622072786079,4.377527593373602,70.29936990734771,55.99455506049602,61.94104215660734,3.6500741920867634,51.96579799993257,421.5427415864596,171.8831504175849,103.57762213866582,61.29182358816506,437.70494884085525,171.55859302691195,56.02173115106347,55.16104396762687,103.48844473738355,62.03215564530624,427.7066816839868,160.7448874487949,111.21466910327305,61.77326421053639,439.38848657576153,173.5932720810375,497.30975941565316,61.98818236262122
25,122.0,62.4,120.8622978740076,60.8513523101761,121.70057456979788,61.20826474511774,121.73296764050801,60.93850803171142,132.87549992162246,62.88432995322887,112.99148693366789,61.91208539964919,133.41818214057065,62.88125000390249,121.69039967901838,61.61639580278437,125.67654017285368,61.971097032727215,4.3775275916922896,69.5212313641576,56.1558986384426,62.102812503861784,3.545348870190369,47.50712758805085,423.4090165798636,156.97682463181104,121.73283154162385,60.938517332810704,439.58861082171114,156.1459046316055,76.35641696540586,53.71071447942703,121.69025753033338,61.61640655744507,433.0388881407347,146.7789899824663,125.56492480923745,61.49643481304575,441.2682523741468,158.46419036421798,526.7473470720628,61.90990282496709
30,130.5,62.4,129.19011681230992,60.951044028030665,129.60038601224394,61.30119597828113,129.61254158095477,61.05078585782102,132.87549992162246,62.88432989832712,119.73398753364863,61.58330639957772,133.41818214057065,62.881250003898934,129.60741368854008,61.6318945994562,131.94922741569368,62.073456884764305,4.377527590010977,68.75170597914008,56.166545876279244,62.259994746449706,3.443628252586605,43.43677231328501,423.9975951757793,143.50736530130783,129.6123067322791,61.050788037004104,440.16356268946396,142.11787997933612,97.75752651269335,53.653288223600704,129.60717602311288,61.6318986133773,435.3397030851203,134.1683093990895,131.09740848436223,61.59165554050231,441.83963100046947,144.65364542506475,536.5944376908388,62.03551527859139
35,131.6,62.3,132.40978680580804,61.25161648518889,132.57757731918088,61.54189852776129,132.5774069284504,61.33713848798766,132.87549992162246,62.88432984342536,124.528572898512,61.50583507454258,133.41818214057065,62.88125000389538,132.5919969458238,61.81331435117485,133.60231402713282,62.21818858316886,4.377527588329664,67.99069841388227,56.16724422364989,62.40843768175072,3.3448261304370503,39.72074395632448,424.1825078159833,131.33351414156581,132.577262232633,61.33713407425718,440.33839295998166,129.35012197388627,118.6152348661375,54.8795553510573,132.59184702096522,61.81331206084564,436.32486696660396,122.77501040645322,133.03115348856605,61.810896294204184,442.01265542094603,132.04672353209028,539.7350972287572,62.21546150523828
40,132.5,62.4,133.57770596585445,61.60936764610819,133.63725455679753,61.82573116389662,133.6310840128315,61.67145166592573,132.87549992162246,62.88432978852361,127.94061963948116,61.59507383483318,133.41818214057065,62.88125000389183,133.65445385553042,62.04521154258097,134.00760776963804,62.37121186976907,4.377527586648351,67.23811438526519,56.16729000950281,62.54835368614923,3.248858768346092,36.328034084420416,424.2405313443478,120.32977952702964,133.63103178608057,61.67144434394405,440.3914937665282,117.7294092558375,137.52521681759958,57.19724188302718,133.65439394803633,62.04520621619734,436.74530425750385,112.47883245176386,133.68353660333094,62.05975292203975,442.06499066127134,120.53852596886632,540.7213672092581,62.40096873395175
45,133.5,62.4,133.9913696357635,61.970053466883044,134.0066371092997,62.11389057954865,133.9978320277366,62.007362466060634,132.87549992162246,62.884329733621854,130.36999828214357,61.79184986830276,133.41818214057065,62.881250003888276,134.0248331043474,62.28473920273463,134.10513898636702,62.52369922302612,4.377527584967038,66.49386065378268,56.1672930112883,62.68021466698012,3.155644833394654,33.23035266952744,424.25873157780126,110.38342011142309,133.99783470760727,62.00735495814852,440.4076163062917,107.15269218320981,153.6046101460092,60.360112672770505,134.02482671067358,62.28473328018379,436.9244810974047,103.17295315775037,133.9009844110528,62.30621288080949,442.080815188751,110.03329620076578,541.0295726629626,62.57747408142331
