,USDA_biomass,USDA_soil,sterman_biomass,sterman_soil,SE_LSP trf_linear _biomass,SE_LSP trf_linear _soil,SE_LSP trf_linear (constrained)_biomass,SE_LSP trf_linear (constrained)_soil,SE_LSP trf_soft_l1 _biomass,SE_LSP trf_soft_l1 _soil,SE_LSP trf_soft_l1 (constrained)_biomass,SE_LSP trf_soft_l1 (constrained)_soil,SE_LSP trf_huber _biomass,SE_LSP trf_huber _soil,SE_LSP trf_huber (constrained)_biomass,SE_LSP trf_huber (constrained)_soil,SE_LSP trf_cauchy _biomass,SE_LSP trf_cauchy _soil,SE_LSP trf_cauchy (constrained)_biomass,SE_LSP trf_cauchy (constrained)_soil,SE_LSP trf_arctan _biomass,SE_LSP trf_arctan _soil,SE_LSP trf_arctan (constrained)_biomass,SE_LSP trf_arctan (constrained)_soil,SE_LSP dogbox_linear _biomass,SE_LSP dogbox_linear _soil,SE_LSP dogbox_linear (constrained)_biomass,SE_LSP dogbox_linear (constrained)_soil,SE_LSP dogbox_soft_l1 _biomass,SE_LSP dogbox_soft_l1 _soil,SE_LSP dogbox_soft_l1 (constrained)_biomass,SE_LSP dogbox_soft_l1 (constrained)_soil,SE_LSP dogbox_huber _biomass,SE_LSP dogbox_huber _soil,SE_LSP dogbox_huber (constrained)_biomass,SE_LSP dogbox_huber (constrained)_soil,SE_LSP dogbox_cauchy _biomass,SE_LSP dogbox_cauchy _soil,SE_LSP dogbox_cauchy (constrained)_biomass,SE_LSP dogbox_cauchy (constrained)_soil,SE_LSP dogbox_arctan _biomass,SE_LSP dogbox_arctan _soil,SE_LSP dogbox_arctan (constrained)_biomass,SE_LSP dogbox_arctan (constrained)_soil
0,4.1,143.3,4.1,143.3,4.089084454248393,139.90834664175182,4.04010057582377,142.30000000000004,4.158517169662569,136.61608143503568,3.258658731552171,142.4613435984714,129.6999999108036,130.55294117896818,4.1305410649447305,142.30000000000004,358.78960139934554,195.67411104493308,4.427011574554367,142.30001060669966,1.5008233370349588,143.2626219519521,4.101051200968297,143.26462104443758,234.83198625389977,242.97584840927448,4.122144883233617,144.3,249.99997481020702,249.99999761906466,4.09999004085384,143.3000046254939,193.53016954035402,193.52881208527785,4.099917183174283,143.30001131892357,249.59164799244465,249.01560146633133,4.099999591140954,143.30000208834397,249.99981225010967,251.74600366156022,4.099999358304979,143.29998813993387
5,12.8,133.2,13.523200587766846,138.43175198000196,12.524348296965588,136.28610309904164,12.508474338525232,137.76744758016395,12.537412747713763,134.27385337056552,40.04014564683946,137.73401191876624,129.69999991013796,130.55294117897884,12.53893215012894,138.08217394959243,21.15853029938244,183.43555794905242,4.42701120147451,141.4325075619479,12.811994815724473,135.77952348116176,3.764344749100873,140.56862071585024,183.94486406110408,231.2237208401405,56.83307506948577,131.7299465531352,349.60268573241166,232.60422042115724,9.587696962078113,130.06156823601893,299.68554672313456,181.76033595050754,13.393571805773583,131.49364421273967,335.5415163649873,231.58642180601151,89.08845199788166,135.45454550385347,358.57923709656995,228.3620298008175,106.02953449212272,133.56705620921673
10,31.1,130.3,32.79743957602281,134.23626207519993,31.618908791349394,133.12109052433206,31.64119561015434,133.82694975870115,31.577466955292724,132.21159570323934,65.61860776408209,134.4973146745675,129.69999990947233,130.5529411789895,31.59317325641925,134.3967971198286,102.47067922335926,170.54654135552508,4.427010828394685,140.5702930728993,85.08547288488434,130.31319585637664,3.455282730129673,137.92334123768796,155.08344614428162,218.36667702213126,140.6979285642861,124.11685176968193,396.76411442560476,218.6103938229774,21.61736499524625,118.46212885381938,349.7824672531054,173.44481700714022,28.006454723245245,121.82416962470474,380.8963980902574,217.34021716944125,215.01456854517124,130.18426475031106,410.7518356976416,207.4520513043636,195.94812530422135,128.4848982153068
15,63.9,129.7,63.15784012877358,131.1084935536851,63.230801017640395,130.75587415312728,63.287342918849276,130.8932545928231,63.20205595323117,130.66140978723584,84.03168046459392,132.3122957435066,129.6999999088067,130.55294117900016,63.20477814092156,131.6255818598454,129.75577318367445,164.37518802589815,4.427010455314892,139.71333489895065,130.52701121957352,129.55368459875456,3.1715954677063083,135.32782947701958,138.2775749764352,205.4644533445908,228.87307596697855,122.25567641868933,414.0616683783723,206.70132450037522,45.7468689149777,108.778770881089,367.8595074237991,166.91328607839793,47.089284347432056,114.59809196144225,400.43234577135865,205.19279453501198,320.6688649240469,127.70099749650319,429.6823082423811,188.64871454547867,263.716117136728,127.01289253846103
20,94.9,129.9,94.88867361280299,129.31889463678465,96.01764509329578,129.43191617235095,96.08757445957653,129.25428778751584,96.06012937720132,129.7911506555024,97.38181737358627,130.8809269236431,129.69999990814105,130.55294117901082,96.04935325024063,130.03702781922922,130.42251014543538,159.64664229846625,4.42701008223513,138.8616009960471,130.61967839823416,129.70294055935258,2.9111996315270243,132.78115012182687,128.32980339955043,193.05132275505125,289.4277963022078,125.00811237570089,419.775190227707,196.19689746667822,87.5272888765918,101.55728975251267,373.70880470979046,161.3496823025991,68.38912132100305,109.95166961642829,408.11278605476997,194.51219468115718,374.0687525113863,127.05982087936782,435.8029556136853,171.68577465234617,308.5778115161396,127.95002599328676
25,117.2,130.2,115.66542746303077,128.6583085532864,116.61858456161127,128.97363102915952,116.66759557993942,128.6852144222118,116.70218200714461,129.49103647883666,107.0872575163458,129.99063639808244,129.69999990747542,130.55294117902147,116.6837159648547,129.42990820314174,130.4322827395878,155.3761819716037,4.427009709155399,138.01505951548373,130.61970230976783,129.84538443270196,2.672182937861318,130.28238535521317,122.38137302067977,181.38474901114458,319.6764732252029,130.17495491916418,421.5950714885061,186.78651433476634,145.72566942140145,97.46435202033473,375.5324750350024,156.42915046271654,89.32070316178688,107.76970531144994,411.0233565913247,184.97062624572337,394.02935576810717,127.21701422853022,437.70545661731217,156.36332672749282,335.59619607571136,130.27174044313304
30,126.5,130.1,125.1108098300119,128.62573878167404,125.5971161184567,128.9793056330658,125.61691247130481,128.6865276963503,125.6847608309368,129.497938416855,114.15153144324397,129.48806365985573,129.69999990680978,130.55294117903213,125.65798557921285,129.34837550738098,130.432424309631,151.50321833317693,4.4270093360757,137.1736788027149,130.6197023159094,129.98015630953145,2.4527901062050064,127.83063453495502,118.80208370979325,170.57166953068932,332.33666888481235,136.09192140825417,422.1679560614026,178.3071534887196,207.3792270013528,96.80035901778251,376.0943851191432,152.01505667090706,107.94190139032162,107.71762131643513,412.11093682386405,176.38532227565332,400.59254003563456,127.63501378857072,438.2894810833854,142.51631445722856,350.9027611883385,133.26450371990353
35,127.7,130.0,128.63599187379543,128.84863880286403,128.8460235782787,129.16775797160471,128.84710438163592,128.91064626142497,128.92855905327298,129.6267274545932,119.29642202780164,129.26212503070204,129.69999990614414,130.5529411790428,128.89562671904136,129.47417408038615,130.43242636012394,147.99051436578202,4.427008962996032,136.33742739617037,130.61970231591096,130.1076691026452,2.251409968926834,125.42501387836201,116.64007253482403,160.63633922913797,337.2306368367354,141.94577164164272,422.347624490812,170.65093199592934,256.68943990377267,99.07094679612355,376.2668894094397,148.03542707468668,123.30670518754295,109.34165017943882,412.5151894581433,168.6368834876691,402.6560761357193,128.1154099323233,438.468073354241,130.00067323283892,359.265282575692,136.49531947991343
40,128.7,130.0,129.84847510880712,129.15544891717835,129.93827152446488,129.41537529568757,129.93036079371518,129.205390343701,130.01682471149832,129.795992691818,123.04458567698022,129.2322521886448,129.6999999054785,130.55294117905345,129.98061511282995,129.66781835697995,130.43242638982312,144.80455558651315,4.427008589916396,135.50627402607893,130.61970231591096,130.22831380078114,2.0665636392449915,123.06465615240347,115.33107793858319,151.55814705931942,339.0632808077254,147.43007859320258,422.4039062424461,163.73296274635453,287.9871578952883,103.21776271719698,376.31978808079816,144.44133666380256,135.30112368440012,112.17158161019596,412.6651549560116,161.63487939011634,403.29560909796385,128.59449678871533,438.52262165624666,118.68778219497621,363.7418977542508,139.7255627376767
45,129.7,130.0,130.2534376802493,129.48249112533512,130.29617227004437,129.67763239130562,130.28445743789163,129.51618617385208,130.37269220751338,129.97640883736426,125.77566459939092,129.34000421649347,129.69999990481287,130.5529411790641,130.3350056977077,129.8792274634921,130.43242639025328,141.91494871593707,4.427008216836791,134.68018761329932,130.61970231591096,130.34246033332028,1.8968936506420393,120.74871036905793,114.53740941087977,143.29315051668075,339.7413175966091,152.45934072783595,422.42153022124705,157.48049602632852,305.00572332954073,108.21932973067481,376.3360039351066,141.19353847371383,144.29764735044924,115.78912838972572,412.7207470732639,155.30410370688085,403.4929259768425,129.0535079613414,438.53927659425807,108.46187036690597,366.11192673550465,142.8340430805902
