,Sterman,SE_SLP trf_linear ,SE_SLP trf_linear (constrained),SE_SLP trf_soft_l1 ,SE_SLP trf_soft_l1 (constrained),SE_SLP trf_huber ,SE_SLP trf_huber (constrained),SE_SLP trf_cauchy ,SE_SLP trf_cauchy (constrained),SE_SLP trf_arctan ,SE_SLP trf_arctan (constrained),SE_SLP dogbox_linear ,SE_SLP dogbox_linear (constrained),SE_SLP dogbox_soft_l1 ,SE_SLP dogbox_soft_l1 (constrained),SE_SLP dogbox_huber (constrained),SE_SLP dogbox_cauchy ,SE_SLP dogbox_arctan ,SE_SLP dogbox_arctan (constrained)
forest_start,4.1,4.285854011136034,4.245148698385836,140.57954979757233,3.6675865911382113,141.14999240475922,4.302984726779009,200.01364696399872,4.371602591321186,4.1058968147856465,4.100813773824735,249.99442541448977,4.24513561300405,249.9999724532972,4.099989586217392,4.099886281165718,249.52778660043057,249.99999044422958,4.09999943485688
soil_start,105.5,102.08016963976102,104.50000000000001,95.21011983486304,104.79043411349168,95.22142714951586,104.50000000000027,93.59262577236744,104.50000136837535,93.05070746067841,105.49544398281405,249.99667645721615,104.5,249.99999480847168,105.5000024575391,105.5000222159295,247.87667892330586,250.00000240868275,105.49998520787916
B,147.342,146.682760967269,155.821667329267,32.13982028140455,976.8219945186314,77.69921032110061,145.54281019125415,21.89432054169849,0.6677523389627905,4.864507927855731,0.2703646687528386,529.6798967271925,145.92271728068,440.41190589490725,439.7340107052583,440.75506710654935,441.44841279975253,442.7639190201881,556.3339197191696
phi_ab,0.18459,0.20864757815708013,0.2195464270342838,1.042138813796011e-10,0.007573820030749199,3.109556418059365e-09,0.2047606463676134,0.002094961396546587,0.49749999999999994,1.442085178258668e-13,0.30727607004880286,0.2620688199183183,0.2069008001488535,0.2285727760058254,0.22349578754005817,0.09664856582103154,0.5,0.2296130851594459,0.2971119651240782
k,0.00507295,0.0029799611930143516,0.002901335957306205,2.274018472920481e-10,0.008885950930965442,3.118219961702086e-08,0.003075756156967007,6.388060943064752e-08,0.012041161440574547,0.0499986882672502,0.0005626158515497325,0.02128633116611579,0.003099234287418469,0.02764602438173304,0.0,0.0016025832065354841,0.0,0.027815293201675757,0.02226853021849327
v,0.983193,0.9027189273601979,0.9073464463227037,5.250421824354318e-10,0.7395083588869014,2.352160251616599e-08,0.9158251048333511,0.5209596380181035,2.5076601621724852e-15,0.23652002075706818,5.25694286201593e-19,0.7480954548458262,0.9072045559695467,0.7478117335487814,0.7426332149738576,1.5,0.2520283888006396,0.748026600221098,0.6759453953939787
phi_ba,0.00118025,0.0023423318180547234,0.014241161629121429,3.1920566127117195e-18,0.04999814691827126,2.405680234509512e-12,4.429533130688575e-07,4.944517585208206e-07,5.543235403114384e-12,0.03195045807790771,3.5612860998306875e-13,0.05,0.0,0.0026255499442074354,0.03597574634412447,0.05,8.099104776446209e-05,0.0,0.05
phi_bs,0.00636347,0.00452915556089074,0.005804218866486637,2.4694815508771732e-11,0.006617257940441808,4.0208968964630043e-10,0.0051809325977985096,0.00017181592829855933,2.2286482491292107e-13,0.019999999999999997,1.2025560400154566e-07,0.0026902473967953537,0.005804217317592586,0.00218582968136942,0.0062007055302270055,0.019999999988268253,0.0018738553869840845,0.001283690897359781,0.004120994563304668
phi_sa,0.00877681,0.006191644251654836,0.008010965308584432,1.583695636125773e-08,0.009206234202579724,1.4035200851819046e-10,0.007272796010746441,4.513922006770261e-09,0.0013091669363605293,7.727264445029056e-20,0.018668274364420527,0.02,0.008010963229419944,0.019999999999833915,0.019742833577258326,0.015555521491871897,0.02,0.017411679371309725,0.017999086393708185
RMSE,1.3063053185703943,1.0517399965643552,1.1561321601236838,36.896414712586115,9.026044806314536,37.090571908057505,1.203442048928978,56.06502187866819,85.1719518785086,87.00862696791032,92.56765273372048,209.06130126724483,1.1561309394170027,217.72664785134882,109.60400994666031,38.78635265703465,216.48066244521095,224.13172141803514,195.20148962106657
