,USDA_biomass,USDA_soil,sterman_biomass,sterman_soil,SE_SLP trf_linear _biomass,SE_SLP trf_linear _soil,SE_SLP trf_linear (constrained)_biomass,SE_SLP trf_linear (constrained)_soil,SE_SLP trf_soft_l1 _biomass,SE_SLP trf_soft_l1 _soil,SE_SLP trf_soft_l1 (constrained)_biomass,SE_SLP trf_soft_l1 (constrained)_soil,SE_SLP trf_huber _biomass,SE_SLP trf_huber _soil,SE_SLP trf_huber (constrained)_biomass,SE_SLP trf_huber (constrained)_soil,SE_SLP trf_cauchy _biomass,SE_SLP trf_cauchy _soil,SE_SLP trf_cauchy (constrained)_biomass,SE_SLP trf_cauchy (constrained)_soil,SE_SLP trf_arctan _biomass,SE_SLP trf_arctan _soil,SE_SLP trf_arctan (constrained)_biomass,SE_SLP trf_arctan (constrained)_soil,SE_SLP dogbox_linear _biomass,SE_SLP dogbox_linear _soil,SE_SLP dogbox_linear (constrained)_biomass,SE_SLP dogbox_linear (constrained)_soil,SE_SLP dogbox_soft_l1 _biomass,SE_SLP dogbox_soft_l1 _soil,SE_SLP dogbox_soft_l1 (constrained)_biomass,SE_SLP dogbox_soft_l1 (constrained)_soil,SE_SLP dogbox_huber (constrained)_biomass,SE_SLP dogbox_huber (constrained)_soil,SE_SLP dogbox_cauchy _biomass,SE_SLP dogbox_cauchy _soil,SE_SLP dogbox_arctan _biomass,SE_SLP dogbox_arctan _soil,SE_SLP dogbox_arctan (constrained)_biomass,SE_SLP dogbox_arctan (constrained)_soil
0,4.1,105.5,4.1,105.5,4.285854011136034,102.08016963976102,4.245148698385836,104.50000000000001,140.57954979757233,95.21011983486304,3.6675865911382113,104.79043411349168,141.14999240475922,95.22142714951586,4.302984726779009,104.50000000000027,200.01364696399872,93.59262577236744,4.371602591321186,104.50000136837535,4.1058968147856465,93.05070746067841,4.100813773824735,105.49544398281405,249.99442541448977,249.99667645721615,4.24513561300405,104.5,249.9999724532972,249.99999480847168,4.099989586217392,105.5000024575391,4.099886281165718,105.5000222159295,249.52778660043057,247.87667892330586,249.99999044422958,250.00000240868275,4.09999943485688,105.49998520787916
5,15.0,96.0,15.230422088920072,101.19791505605131,14.426616141696675,99.1304266334621,14.414597533028656,100.59923587383882,140.57954978021434,95.21011231302865,43.88433865873571,100.73916985068846,141.1499921192863,95.22142736646808,14.460983983434367,100.95149814672517,194.91323229407166,93.76268288011846,4.371602591195091,103.81775033633674,3.2205416522089862,93.42339434405912,4.100811308088842,96.00921354779125,345.66732060792157,229.76923855458534,14.414602625975734,100.59923722033146,354.2619935238051,229.10099335388747,9.986593615225406,95.67058728600799,9.108889683897099,98.13356929193668,328.82803619197995,226.6186369077472,360.0004349949104,230.8371636325147,101.31138915201875,97.10569787784702
10,35.7,93.6,37.31056662807848,97.55641566101527,36.19319944561715,96.59241107155054,36.212905079912844,97.26389024765963,140.57954976285635,95.21010479119485,72.3142775290091,98.00993638204804,141.1499918338134,95.2214275834203,36.180328500633806,97.89713705134372,190.03532763640357,93.9284357200164,4.371602591068997,103.13995352884002,2.602897432711341,93.71892480297777,4.10080884235443,87.3759923708191,391.1633451288587,212.44319743972892,36.212852017216264,97.26389163513473,403.8473168112466,211.05999330061098,23.389963624921926,87.02757513768623,15.080852027927587,91.84483700735038,379.4966481393965,208.01130732023887,412.47389051457014,213.81668612974894,242.6859589908105,91.81637243117756
15,71.1,93.7,70.97155669106098,94.92012249347124,70.9679355853939,94.74450441793718,71.01733213843072,94.84328526389638,140.57954974549835,95.21009726936164,92.64564629382768,96.21394789789626,141.1499915483405,95.22142780037251,70.893343944732,95.64989217658716,185.36681368644278,94.09007086826088,4.371602590942902,102.46658186550957,2.1792276736611496,93.96096366678837,4.1008063766215015,79.51907719244113,408.05999759462,197.1946652293271,71.0173730048695,94.84328655397614,421.897171977042,195.1158547549309,51.08393694215763,79.75919854644609,22.167175603575984,86.6518339693995,407.4927414390796,191.55780323352485,431.3560819812056,198.45388253783702,354.9231475305346,89.67390478353241
20,106.0,94.2,105.03011235282924,93.49538874519956,106.20217692066268,93.76805420032319,106.26432179272106,93.55944494858984,140.57954972814036,95.21008974752903,107.2303005413969,95.07912497531112,141.1499912628677,95.22142801732473,106.17229916758566,94.41286892423955,180.8955371443309,94.24776396861472,4.371602590816807,101.79760645582735,1.8933880239241119,94.16653675341401,4.100803910890055,72.3686619702659,413.7258446749083,183.55841488721467,106.26435800778657,93.55944811172583,427.78658133352826,180.830305361976,99.6418515729488,74.24996785366432,30.51924864220517,82.58598492983023,421.79931776850833,176.88104706974565,437.41318400589313,184.46068687933726,408.69682365271177,89.45788762203534
25,127.9,94.7,126.76308760154377,93.05793188738636,127.86907781552017,93.49912478825372,127.91246365837655,93.19120726784561,140.57954971078237,95.21008222569701,117.70622774532663,94.4118861061452,141.14999097739494,95.22142823427694,127.90807924754297,93.99523364352065,176.61022594586805,94.40168053252218,4.3716025906907126,101.13299859789336,1.7034160056134195,94.34764689336585,4.100801445160091,65.86121767581555,415.5587032379747,171.28098828807876,127.91240622655808,93.19121020152453,429.637294879859,167.95802352753324,166.2947257738102,70.95646167138334,40.27218990813415,79.69053781149593,428.82723708604993,163.71294290085848,439.28199894053233,171.66863813685134,428.132595085872,90.00609719998877
30,137.8,94.8,136.49639670837112,93.15358449321083,137.09098668173073,93.59928181359827,137.10804177660108,93.2972937605165,140.57954969342438,95.21007470386559,125.23578157217763,94.07390482590945,141.14999069192217,95.22142845122916,137.14862965526763,94.00555690393284,172.50041308905347,94.55197666943005,4.371602590564618,100.47272977719423,1.5787416037507467,94.51257714027108,4.10079897943161,59.93892786052659,416.14465156393453,160.19883543851282,137.10797869764946,93.29729463945809,430.2119143008276,156.33523624562156,233.74744709253636,70.02382953273472,51.52022701752209,78.01719470385822,432.2135889994657,151.85803979951027,439.85157202515273,159.95968972489453,434.3996498125551,90.76423143488948
35,139.1,94.8,140.10563945276746,93.45899699555471,140.34949294499597,93.83919718821706,140.3499589039328,93.58077597970424,140.5795496760664,95.21006718203478,130.64953066424673,93.9662097088356,141.1499904064494,95.22142866818137,140.403397053365,94.17863663678598,168.5563680709731,94.69879975434783,4.371602590438523,99.81677166537978,1.497723992307788,94.66692939540171,4.100796513704611,54.54917497609738,416.33126336894594,150.18644846766122,140.34992733271534,93.58077527533278,430.38965590586935,145.83310552835093,284.1592671740843,71.0106765870249,64.2836177636541,77.62026729485325,433.8301968869739,141.1651977292768,440.0245145890721,149.23751843326303,436.3437223862553,91.53832018245042
40,140.2,94.8,141.34420668012706,93.82817229379614,141.42043300839703,94.12083080053284,141.41308531542924,93.91530714313406,140.5795496587084,95.21005966020455,134.5428052788047,94.01798842249073,141.14999012097664,95.22142888513359,141.46897569634288,94.40134788404774,164.7690350753688,94.8422890388818,4.3716025903124285,99.16509611904765,1.4454576668912862,94.81442722464443,4.100794047979095,49.64407288531152,416.3906231478353,141.13763574712627,141.4130777892839,93.9153057573287,430.44457104131646,136.3412319250953,313.889838657687,73.14689671137224,78.47050310072846,78.54782123994805,434.5985375650269,131.51070020080198,440.07696613090167,139.4175551892257,436.939457387799,92.27045056993967
45,141.1,94.8,141.75760214433404,94.20754210522142,141.7638049377846,94.40981932724063,141.7532170387006,94.25685977779601,140.5795496413504,95.21005213837492,137.3429823072124,94.17861778297487,141.14998983550387,95.2214291020858,141.80925327175171,94.63417926587181,161.12997715921935,94.98257621127686,4.371602590186334,98.51767517853581,1.4119117774187957,94.95751200350189,4.100791582255062,45.18004140985352,416.40949775054264,132.95873209577434,141.7532218152581,94.2568582781717,430.461531541185,127.7617070879692,329.00028403013545,75.77073531285637,93.84255375986473,80.82984607498473,434.9629466095621,122.7890155125643,440.09286858267467,130.4234568764385,437.12132606438416,92.94674595759136
50,142.2,94.9,141.8942881288234,94.57923694231538,141.8730173323582,94.69507454639209,141.86116957815472,94.59139399904045,140.57954962399242,95.21004461654589,139.35712295525803,94.41196274860785,141.1499895500311,95.22142931903802,141.91704341809802,94.86442853244779,157.63132577976123,95.11978591038782,4.371602590060239,97.87448106672299,1.3904561488391418,95.0977682714804,4.1007891165325105,41.11741913511761,416.41549856303203,125.56581198728917,141.8611797347735,94.59139265253451,430.4667691967161,120.00661262708783,336.0939597330279,78.48539323554698,109.99899598229017,84.4645804233243,435.1356063757036,114.90777638432564,440.0976894398718,122.18563805931399,437.1767838373105,93.56668663303984
