,NE_MBB,NE_OH,NE_OP,SC_OH,SC_OP,SC_SLP,SE_SLP,SE_LSP
Sterman,4.794936829038761,4.334806466744688,4.373412596873072,1.944935667861958,1.5016858705743343,1.17373957822687,1.3063053185703943,1.302231913592771
trf/linear ,3.758347846056302,3.5003775153916217,3.4417148948845604,1.3864329162052225,1.0456393944311904,0.9539684519969395,1.0517399965643552,1.045124367754467
trf/linear (constrained),4.527810768150855,4.0130577546114425,4.126203570350873,1.7752657635615128,1.3318511995861757,1.0300278857227592,1.1561321601236838,1.1500573520506245
trf/soft_l1 ,4.063343991070705,55.37640394566343,3.7065122517021005,32.73945591765199,999.0,34.150656401262474,36.896414712586115,1.240611349305699
trf/soft_l1 (constrained),4.754019930971026,4.193821759792735,4.299854884169601,1.8183665688643762,1.3622452345203557,8.24632170150168,9.026044806314536,8.572412500485505
trf/huber ,4.088614070821563,3.900985824561258,3.7297831349666177,32.74014260692725,999.0,34.33318672976324,37.090571908057505,34.43466294657569
trf/huber (constrained),4.744795621880862,4.231045337610287,4.308648229957693,1.8322091397241347,1.3767617544171078,1.0677855134021896,1.203442048928978,1.1912159147896784
trf/cauchy ,4.532147947124607,34.61998399782544,51.121544434777114,999.0,107.52477218256043,80.46844922694464,56.06502187866819,62.353389249254754
trf/cauchy (constrained),21.48801006771225,23.843086402107833,75.66007501017897,1.9802444845679839,1.4506325567737595,80.66879665264348,85.1719518785086,77.89595854241304
trf/arctan ,36.85070996590056,61.76502655839547,37.69920818556937,49.028893501396546,999.0,47.30549206616273,87.00862696791032,15.264249436670324
trf/arctan (constrained),77.6406939783331,69.84898740205983,21.520482625940787,9.64105707534182,34.82004846145021,84.38239260000186,92.56765273372048,80.28240932416706
dogbox/linear ,76.56265808099941,999.0,117.51406738105217,243.36445844830115,216.8075962130864,220.39174208658298,209.06130126724483,63.835218895090094
dogbox/linear (constrained),38.826256789289666,34.10339396345573,41.133753033792075,85.86916840692821,86.46356004851341,1.0300324807358676,1.1561309394170027,136.2092665594362
dogbox/soft_l1 ,194.1776566716922,207.41714189383643,226.91708971146912,250.62626443077653,251.72601199979013,230.48783341262038,217.72664785134882,217.04372867072658
dogbox/soft_l1 (constrained),138.5125766552751,161.5119136950494,39.81985113591667,3.0597850771110817,10.286054928057245,32.161986339557366,109.60400994666031,103.58847385939927
dogbox/huber ,999.0,999.0,999.0,70.63796559576542,999.0,999.0,999.0,181.8843371256185
dogbox/huber (constrained),5.902643845444087,98.14177416785815,4.336335898279331,1.8324330763461705,14.82668567859347,1.0677900867312045,38.78635265703465,19.5435582970607
dogbox/cauchy ,237.77541458830666,202.53504115135405,228.28120199501748,241.64288216590842,252.45561133663037,224.18596696691833,216.48066244521095,209.72524353555158
dogbox/cauchy (constrained),15.144483411164309,999.0,6.703320490451783,187.77234761341418,69.57232953694013,2.5207422824359074,999.0,180.0169243530183
dogbox/arctan ,238.3594066443213,211.12322273201002,236.29015948207677,252.02165304798044,253.24319024547668,231.7597869962281,224.13172141803514,228.35215067197643
dogbox/arctan (constrained),207.40313878896777,181.42842260381582,208.45619845570874,381.71952835352994,565.7253770787045,264.4621347286963,195.20148962106657,153.78026300366028
