,sterman_biomass,sterman_soil,NE_MBB trf_linear _biomass,NE_MBB trf_linear _soil,NE_MBB trf_linear (constrained)_biomass,NE_MBB trf_linear (constrained)_soil,NE_MBB trf_soft_l1 _biomass,NE_MBB trf_soft_l1 _soil,NE_MBB trf_soft_l1 (constrained)_biomass,NE_MBB trf_soft_l1 (constrained)_soil,NE_MBB trf_huber _biomass,NE_MBB trf_huber _soil,NE_MBB trf_huber (constrained)_biomass,NE_MBB trf_huber (constrained)_soil,NE_MBB trf_cauchy _biomass,NE_MBB trf_cauchy _soil
0,2.1,129.3,2.3586919181008085e-32,118.44626530779179,1.1000000000000003,128.30000000000004,0.008713299102746411,113.42991571097006,1.110460833473738,128.30021611918443,0.0038278633059585297,113.35691362068123,1.1000000000000003,128.30000000000004,1.6319780034019569,112.98516315543121
5,13.615317262905565,123.2548886994719,12.249227954414437,115.15381947702784,13.141531856752202,122.57155534110669,12.197450839524409,111.76302499707704,13.109238219398634,123.53654206744349,12.151332414608627,111.7598921435823,13.096485609680714,123.51725792167214,13.534807632113766,112.0613007803337
15,34.51318741763264,113.89433299465817,34.95850762159638,110.16270120243885,35.55886970923506,113.7694814373061,34.78200614348364,109.32988449471874,35.29401862224164,116.11257618994112,34.70694568656934,109.43155236047123,35.342084184254205,116.06873331412932,35.599031416276624,110.7739079649978
25,53.99515345041096,107.71260246019295,55.26760687888215,107.04616920819414,55.716319156729746,108.03524482989138,54.97232617083378,107.97267001217354,55.21071754322704,111.13896716539415,54.90636383307023,108.1400328761785,55.293726114725764,111.08714480419012,55.387342998271286,110.16257109735302
35,71.93894610850512,104.238467577665,73.29862338958522,105.52319366259772,73.68439261892111,104.85034338583323,72.91394237270268,107.54918554635151,73.00661656767312,108.23149657288192,72.87271818113321,107.75040742964671,73.0832701128722,108.18211179938507,73.04224937794662,110.14629052376104
45,88.18215958356329,103.02726084888765,89.2269718744968,105.34009069511866,89.59052822119787,103.75461889243898,88.79636547401674,107.9295962825559,88.83420254568455,107.04875678493387,88.78293908479543,108.13866996353892,88.8769375776054,107.006858990287,88.73710356548717,110.65048400886135
55,102.66181136568224,103.6642880414233,103.24465111014277,106.2714159178028,103.5898644011408,104.34527089218844,102.81722375593256,108.99718206201376,102.85201711049913,107.28944170574871,102.82766391344164,109.19285347545015,102.85091267593576,107.25675551415762,102.65153573742748,111.60742344432552
65,115.4046289103788,105.77292004405012,115.54409618840393,108.11893958295673,115.84994038043268,106.27368942963,115.16869756879663,110.64797698519304,115.22039468822868,108.68963364921888,115.195507358626,110.81292001059772,115.18026912388352,108.66644277490481,114.96097782731087,112.95613930551464
75,126.50074516508938,109.01962334359942,126.30994796596019,110.70979697015258,126.54096273938609,109.24126585209132,126.03148969930487,112.78997290499076,126.09718076370119,111.01990666029393,126.06573398384614,112.91014351123823,126.0330838108367,111.00643556925057,125.83155811092018,114.64208761217128
85,136.07914071349543,113.11557668464572,135.71481058103544,113.89428960707393,135.82930725706058,112.9947306433022,135.5722156279738,115.34214841334028,135.63431561789469,114.08230492431343,135.60482200656722,115.40627034570593,135.56723155650465,114.07958091985904,135.41764417336393,116.61670577480535
95,144.28839841073602,117.81564044308264,143.91726444883264,117.54358498033791,143.873243183633,117.32134869587172,143.94255751633042,118.23344802152121,143.97539395015326,117.70728991312876,143.9650785507928,118.2325965970896,143.92875881100233,117.71757437494327,143.86085105959071,118.83692279403543
105,151.28288402360394,122.91555282964545,151.06122142045868,121.54745244722886,150.82028359469732,122.04418878472715,151.27937989231398,121.40177624989944,151.25410096141752,121.75074215638894,151.2844026472279,121.32903640013744,151.25124638018792,121.77764384362914,151.2899031354186,121.2646606236182
115,157.2135033872254,128.24809389853846,157.27608919690496,125.8121123334807,156.80573961954124,127.01761058098008,157.70537410605743,124.7930408388621,157.59336790371262,126.09108513925713,157.68670086540862,124.64322215070642,157.6558055522377,126.13946060652813,157.8209997963591,123.86634799222523
125,162.2219950901698,133.67877726896612,162.67741534636602,130.25823912911824,161.95215369967312,132.12305985019822,163.32998208291988,128.36026239511637,163.1050854975679,130.62657926099442,163.28266581681075,128.12965856315387,163.2514774143921,130.70230641537165,163.5584721980469,126.61245886028635
