,sterman_biomass,sterman_soil,NE_OH trf_linear _biomass,NE_OH trf_linear _soil,NE_OH trf_linear (constrained)_biomass,NE_OH trf_linear (constrained)_soil,NE_OH trf_soft_l1 (constrained)_biomass,NE_OH trf_soft_l1 (constrained)_soil,NE_OH trf_huber _biomass,NE_OH trf_huber _soil,NE_OH trf_huber (constrained)_biomass,NE_OH trf_huber (constrained)_soil
0,2.1,108.0,1.028030715594973e-36,99.35253426564556,1.1000000000000003,107.0,1.1000000018762257,107.0,1.3324442237336058,94.48779272344065,1.522392212404342,107.0
5,18.27905798064543,99.95735061841387,15.83766387539696,93.58962448167073,16.587736395441976,99.17664304346458,17.386697033741676,99.98108210435268,17.82588495741551,90.43320305430709,17.2306548077988,100.08599168064413
15,46.208178422416886,87.46418376859984,45.29225777326121,84.51888604958123,45.64044621015724,86.99232345667545,46.59106022661106,88.9340123313408,47.137137945885364,83.98598874143292,46.08170899793243,89.15171139111696
25,71.82512505390412,78.93831353995535,72.07823910744584,78.25617321492156,72.24713787069321,78.6999871476726,72.84759837650998,81.23399386569392,73.28986292744675,79.43864475957602,72.32340517707021,81.49124965841187
35,95.62338381231493,73.62869894210066,96.45795507331488,74.31626961907241,96.5679480882526,73.55189509228103,96.73125723990452,76.26014470212459,96.9831674098884,76.49002013280253,96.32047886852278,76.51686453622534
45,117.68428130163866,70.91525811021279,118.6542638031362,72.28555442347225,118.76495548537613,70.92169878981169,118.54786166650554,73.50210600339108,118.59435473699499,74.89039135774715,118.29179916234371,73.73611309427434
55,138.03416053002744,70.27432981323747,138.86462997380406,71.81169158593258,138.996483788906,70.28663303335921,138.51189517621478,72.53427435478855,138.38213291933616,74.42714969382801,138.4060979904917,72.73342885577948
65,156.7058647642897,71.26275966988172,157.26666673032116,72.59508758575203,157.4146983601394,71.21201828220114,156.79384821136034,73.00018273248047,156.5442772696992,74.91733631174095,156.80816105160568,73.15773359740197
75,173.7509606338337,73.50694689845503,174.0212422840119,74.38160702582205,174.16434864999127,73.33788882147995,173.53855550840495,74.60105883747897,173.2415477399701,76.2027064256958,173.62865902714282,74.71280501493759
85,189.23924154072878,76.69392476227488,189.27457924341687,76.95629755921341,189.382094782978,76.36749987043152,188.8737165578761,77.08677903650792,188.60968809477947,78.14607114401812,188.98837044436604,77.14935257595243
95,203.2547017152636,80.5635783661556,203.15984377562125,80.13796048777907,203.19619240366882,80.0574746554323,202.91434238387188,80.2484478973942,202.76622263964938,80.62840733860484,203.0001234951193,80.25832502260556
105,215.8908991196921,84.90167899014583,215.7984371907336,83.77444368952915,215.72641875330123,84.20937471011587,215.76529085576482,83.91219038589995,215.81465614515957,83.54648435167691,215.76972941756887,83.86518197124643
115,227.2467170789981,89.53360840514601,227.3010937820186,87.73855751663456,227.08416825294444,88.66250124009895,227.5228295587741,87.93390037979668,227.847249306688,86.81086662860761,227.39645879555493,87.82495614169132
125,237.4228458123917,94.31871547530451,237.76884079982483,91.92453077806745,237.3726686345341,93.2877588886435,238.2756753150076,92.19476916591199,238.9469552853844,90.34420521687358,237.97331772312785,92.01798183037847
