,sterman_biomass,sterman_soil,NE_OP trf_linear _biomass,NE_OP trf_linear _soil,NE_OP trf_linear (constrained)_biomass,NE_OP trf_linear (constrained)_soil,NE_OP trf_soft_l1 _biomass,NE_OP trf_soft_l1 _soil,NE_OP trf_soft_l1 (constrained)_biomass,NE_OP trf_soft_l1 (constrained)_soil,NE_OP trf_huber _biomass,NE_OP trf_huber _soil,NE_OP trf_huber (constrained)_biomass,NE_OP trf_huber (constrained)_soil,NE_OP dogbox_huber (constrained)_biomass,NE_OP dogbox_huber (constrained)_soil
0,4.2,126.6,1.709515963240419,116.78125124275287,3.2000000000000006,125.6,0.34032662330419355,112.43526885746974,3.2000000041964536,125.60000000000082,0.10332312355191116,112.3766887646356,3.2000000000000006,125.6,3.679123210254249,125.6
5,12.97710026555277,120.60471895294503,11.903069560686244,113.24923102640386,12.909993893115196,119.98248736251037,11.086014945718754,110.22610164864876,13.022243323654408,120.7422407642009,10.920473342751276,110.21379546074525,13.185150625917409,120.725500471095,13.266726182541847,120.81990613525612
15,31.246027155941555,111.01906424113432,32.06984254478577,107.69345343215046,32.426455411744726,111.0638066515403,32.00690113758598,106.82650097060748,32.570612899796245,112.96138660002836,31.946375369721746,106.8896329910099,32.88300243390788,112.93888863493532,32.532920384993965,113.13453490545766
25,50.16433143442702,104.46025800730463,51.604469704138005,104.01515274647726,51.75377680558654,104.99719276622524,51.758293864088934,104.69329431463352,51.692166079498946,107.56833933284308,51.75552271677274,104.80944698736708,51.943956432894595,107.5548475893457,51.56727601081018,107.7817656127186
35,68.73280919029142,100.64982428430001,69.98141902347895,102.02807575940069,70.16832639837098,101.46216162102014,70.03497156023454,103.70153003146521,69.82592545946815,104.3074261363616,70.05424443787129,103.84940950256826,69.93853363560052,104.30200650673781,69.7273850015404,104.52760033801457
45,86.11130671880579,99.2309172125971,86.81853409677315,101.52208619933133,87.12254473452043,100.10016333516049,86.65558797112038,103.71784040887691,86.54623674774744,102.89767301669607,86.6743360285677,103.87804756286472,86.52617621382011,102.89506009473921,86.52052974609293,103.10455488485188
55,101.75928843417238,99.80350532987455,101.8983795240064,102.27690170262943,102.29611194551977,100.5401723610932,101.53730915455853,104.60689365572374,101.5988669844933,103.04941121894413,101.5447467873047,104.76254796746349,101.49206099048651,103.04605234863834,101.64680856201453,103.23037528976029
65,115.42081419312436,101.96200250499905,115.1468830981588,104.07473290808213,115.56542452342731,102.42226607869159,114.67840912165771,106.23646934547337,114.88117316659695,104.4798829616487,114.67284226434143,106.3736023209362,114.74260087937134,104.47602571702541,114.97778888843985,104.62581191155077
75,127.05970745561451,105.32442974045286,126.59983494225149,106.70996843291071,126.95346797477482,105.4146649588954,126.14051308879705,108.48136323161852,126.40752773442505,106.92503554645985,126.12630248391665,108.5890670581905,126.28493433495592,106.92454739984119,126.51729132792948,107.02816933061771
85,136.7856464524746,109.5507456050794,136.3680846456906,109.99558790827356,136.57952793155675,109.22387304104832,136.03066449335407,111.22614163126444,136.2730200277498,110.14709167917292,136.0154607691816,111.29650267426138,136.200598257427,110.156294182871,136.35990536322498,110.200095965219
95,144.79031362304477,114.35153492396186,144.60697562481224,113.76662853213492,144.61708216073197,113.59900646724859,144.48466155347825,114.36681844187193,144.62156794671674,113.9383708490068,144.47722572351861,114.3946881444616,144.61953209787822,113.96468439310226,144.65467173959988,113.93413740830364
105,151.30005095688009,119.48954798921984,151.49233404245075,117.8813133925222,151.2624067274999,118.33185670904156,151.65285987663373,117.81160154689148,151.6208679576946,118.12218671782841,151.66155471908775,117.79426329515294,151.69783186623673,118.17298732298146,151.5768070234494,118.05399756536335
115,156.54464797052304,124.77665959970487,157.20327970421397,122.22051054924538,156.71333322856998,123.2541878392248,157.68903670701042,121.48090066241815,157.4444137854023,122.55169836103279,157.72093047829873,121.41768585026422,157.60061973067528,122.63352607407343,157.30766296163176,122.41351202033705
125,160.7390695686128,130.0683486240274,161.91101793729413,126.68612614813992,161.15626409820268,128.23349412404636,162.74235923599494,125.30679911929823,162.25968028089926,127.10748945596448,162.80281366238722,125.19869448806612,162.49004244565387,127.22560258967053,162.0217725690327,126.89421203864056
