,sterman_biomass,sterman_soil,SC_OP trf_linear _biomass,SC_OP trf_linear _soil,SC_OP trf_linear (constrained)_biomass,SC_OP trf_linear (constrained)_soil,SC_OP trf_soft_l1 (constrained)_biomass,SC_OP trf_soft_l1 (constrained)_soil,SC_OP trf_huber (constrained)_biomass,SC_OP trf_huber (constrained)_soil,SC_OP trf_cauchy (constrained)_biomass,SC_OP trf_cauchy (constrained)_soil
0,4.2,64.4,3.652564809398788,59.953954540790605,3.5322130417788533,63.40000000000001,3.7809196187842575,63.40000000000001,3.76147357305064,63.40000000000001,4.028224778504402,63.40000000000001
5,14.690676056182935,63.03694654862439,14.348977285109632,59.754846774485976,14.299593038011595,62.32222089978422,14.519393467519471,62.5020589257376,14.437989033525815,62.54465562122852,14.699860696602368,62.68326822349609
10,24.938389307296056,61.9466747551724,24.7797324769673,59.66202668733314,24.78042556274801,61.474692851504564,24.93155957476214,61.79940221677793,24.84596902428418,61.87581641351306,25.04568557337571,62.12656777492149
15,34.900703159576075,61.116576400639715,34.88308538678091,59.67208783152554,34.91718210850718,60.84681114461052,34.993519555922525,61.28311536420703,34.928402740983636,61.385767998075025,35.056445075497194,61.723108460394585
20,44.541187080485464,60.53342776642806,44.61931053204474,59.781127305100966,44.67327619161701,60.42723808096269,44.68455504847663,60.944045406207344,44.64749017009291,61.06612853967607,44.712000989548244,61.46597125758815
25,53.8288586964315,60.18353525147012,53.96088424627045,59.98491786235734,54.02392156598616,60.204238458804596,53.9870478916555,60.77285710983614,53.976299560263655,60.90810457347721,53.99201264761532,61.348034126479845
30,62.73821599164669,60.05287249774562,62.88903063015844,60.27901487114433,62.952791705786076,60.16588876921712,62.88674608446251,60.76009053091162,62.89590557801876,60.902653634247216,62.87889706393153,61.361992187245285
35,71.24926518683068,60.12721526077824,71.39191449187655,60.658836373254005,71.45023087515177,60.30023147957645,71.37296766166205,60.896221893089816,71.39390752494347,61.04060852607178,71.35894660292905,61.500407123211495
40,79.34744249492039,60.39227274948847,79.4634608738148,61.119727717795456,79.51207354601547,60.59539675958729,79.43868852610585,61.171726169110286,79.46345136394916,61.3127792860532,79.42271938303053,61.75576709901769
45,87.02341426408526,60.83381285292758,87.10246256104747,61.65701546216916,87.13875271862425,61.039701235876166,87.08051348393293,61.577139324460134,87.1024700093212,61.71003919512316,87.06506099840034,62.120549105990975
50,94.27276615246866,61.43777866741247,94.31184015458784,62.266052823888394,94.33456656930497,61.6217286967135,94.29854355054528,62.103118319902926,94.31303125467231,62.223397803452386,94.28491237650032,62.5872794478465
55,101.09560199228201,62.190394155304936,101.09799537886265,62.94225796596214,101.10704451956134,62.33039567233929,101.09615735700883,62.74049726177347,101.10074775180716,62.844062583686345,101.08498693774544,63.148589862278186
60,107.49607665255444,63.078257337477595,107.47023074212824,63.68114595241776,107.46638479858784,63.15500388518918,107.4797260907582,63.480338432588646,107.4742308582123,63.56349026285944,107.47136951138472,63.797267793145494
65,113.48188753944102,64.0884200285802,113.44022347340814,64.47835500726391,113.42494995099392,64.08528110724616,113.45828137545172,64.31397728761715,113.44458235020599,64.37342866248783,113.45307363936314,64.52629999604059
70,119.06374770189251,65.20845370389515,119.0215484977474,65.32966761863922,118.99681357203734,65.11141172765528,119.0431543882229,65.23306084199014,119.02492328697252,65.26594980591632,119.04158417992996,65.32890913395039
75,124.2548606225868,66.4265016012,124.22924819187156,66.23102698926509,124.19735469972099,66.22405820530429,124.24760265377044,66.22957918197285,124.22996125888523,66.23347504427055,124.25040522399112,66.19858336694172
80,129.0704132317238,67.7313175896562,129.0794477139035,67.17854931478671,129.04289757860099,67.41437450029059,129.08643860907526,67.29589010269451,129.07559754485612,67.26879296425487,129.09462796284956,67.12909919351524
85,133.52709991305784,69.11229267148579,133.589014800652,68.16853235825779,133.5503948584377,68.67401251580355,133.57567143591723,68.42473709697416,133.57857520282943,68.36507085149671,133.5905287680715,68.11453798094445
90,137.64268659716146,70.5594702213233,137.77526259465048,69.19746077473737,137.73715219495946,69.9951225235493,137.73217101403964,69.6092610938048,137.75616829347638,69.51586048266253,137.75520413959524,69.14929674127548
