,Sterman,SC_SLP trf_linear ,SC_SLP trf_linear (constrained),SC_SLP trf_huber (constrained),SC_SLP dogbox_linear (constrained),SC_SLP dogbox_huber (constrained)
forest_start,4.1,4.01354449035815,3.9820897725987594,4.045756721290293,3.9820473023353142,4.045683591116006
soil_start,74.5,71.49006523310746,73.50000000000001,73.50000000000001,73.5,73.5
B,166.72099999999998,174.73549924610248,175.4963536097911,175.1470101163351,138.91510858467524,138.53540182949538
phi_ab,0.23104,0.2844824893765969,0.2847505180915565,0.2847751975295837,0.24067135484996244,0.2406553759268298
k,0.00491518,0.002751707494934704,0.002808085541908233,0.002696330399508259,0.0035655189720377447,0.0034265973765246448
v,0.866791,0.7266714975974856,0.7294045311205988,0.7274085661803749,0.7282515446025362,0.7262996397487015
phi_ba,0.0377219,0.04999995926933478,0.04999966793398285,0.04999999943985922,0.0,0.0
phi_bs,0.007241199999999999,0.005619186121534606,0.0067264713949755795,0.006137798929049679,0.0067264742137180655,0.006137800052822559
phi_sa,0.0145183,0.011209040946038609,0.013475521924568868,0.012448047292066607,0.013475527289871279,0.0124480492432558
RMSE,1.1737395782268703,0.9539684519969396,1.0300278857227592,1.0677855134021896,1.0300324807358676,1.0677900867312045
