,Sterman,SE_LSP trf_linear ,SE_LSP trf_linear (constrained),SE_LSP trf_soft_l1 ,SE_LSP trf_huber (constrained)
forest_start,4.1,4.089084454248393,4.04010057582377,4.158517169662568,4.1305410649447305
soil_start,143.3,139.9083466417518,142.30000000000004,136.61608143503568,142.30000000000004
B,136.134,158.4087481756163,159.69289514682416,166.17283790442332,137.67271711039388
phi_ab,0.19312,0.2613991793308608,0.26204073975364583,0.27286956277743635,0.23301095640731875
k,0.00353541,0.0010059482961871963,0.0011184873878585936,0.0007908751206322594,0.0010723857794680404
v,0.95263,0.8133989502480015,0.8186137890468103,0.8114332872661191,0.8164778709261971
phi_ba,0.0009154,0.0365208627236886,0.03722020094169135,0.0499649498196532,0.004435728773812705
phi_bs,0.00774907,0.005903048531467745,0.007242638912766343,0.003920314727922185,0.006630253578408061
phi_sa,0.00728868,0.00552510484084919,0.006805342971562394,0.003652209654781519,0.006324913759909193
RMSE,1.302231913592771,1.045124367754467,1.1500573520506243,1.240611349305699,1.1912159147896784
