,sterman_biomass,sterman_soil,SE_LSP trf_linear _biomass,SE_LSP trf_linear _soil,SE_LSP trf_linear (constrained)_biomass,SE_LSP trf_linear (constrained)_soil,SE_LSP trf_soft_l1 _biomass,SE_LSP trf_soft_l1 _soil,SE_LSP trf_huber (constrained)_biomass,SE_LSP trf_huber (constrained)_soil
0,4.1,143.3,4.089084454248393,139.9083466417518,4.04010057582377,142.30000000000004,4.158517169662568,136.61608143503568,4.1305410649447305,142.30000000000004
5,13.523200587766846,138.43175198000193,12.524348296965588,136.28610309904164,12.508474338525232,137.76744758016395,12.537412747713766,134.27385337056552,12.53893215012894,138.08217394959243
10,32.79743957602281,134.23626207519993,31.618908791349398,133.12109052433206,31.641195610154337,133.82694975870115,31.577466955292724,132.21159570323934,31.59317325641925,134.3967971198286
15,63.15784012877357,131.1084935536851,63.2308010176404,130.75587415312728,63.287342918849276,130.8932545928231,63.202055953231174,130.66140978723584,63.20477814092156,131.6255818598454
20,94.888673612803,129.31889463678465,96.01764509329578,129.43191617235095,96.08757445957652,129.25428778751586,96.0601293772013,129.7911506555024,96.04935325024063,130.03702781922922
25,115.66542746303075,128.6583085532864,116.61858456161129,128.97363102915952,116.66759557993942,128.6852144222118,116.70218200714459,129.49103647883666,116.6837159648547,129.42990820314174
30,125.1108098300119,128.62573878167404,125.59711611845671,128.9793056330658,125.6169124713048,128.68652769635028,125.6847608309368,129.497938416855,125.65798557921283,129.34837550738098
35,128.63599187379543,128.84863880286406,128.8460235782787,129.16775797160471,128.84710438163592,128.91064626142497,128.92855905327298,129.6267274545932,128.89562671904136,129.47417408038615
40,129.84847510880712,129.15544891717838,129.93827152446488,129.41537529568757,129.93036079371518,129.205390343701,130.01682471149832,129.79599269181801,129.98061511282995,129.66781835697995
45,130.25343768024928,129.48249112533512,130.29617227004437,129.67763239130562,130.28445743789163,129.51618617385208,130.37269220751338,129.97640883736426,130.33500569770771,129.8792274634921
50,130.38735111073694,129.80818425243382,130.41245227554654,129.93971461900776,130.39922845615806,129.82500247472706,130.48807880072516,130.1581887410379,130.44978220393978,130.09178666701894
55,130.43148717635822,130.12561338133943,130.45012616811343,130.19690495354854,130.43632595736324,130.1261896279043,130.5253885155903,130.33817433540605,130.48685238965072,130.30021612331677
60,130.4460179150461,130.43277290347822,130.46232123917056,130.44780313261884,130.44830630172308,130.41815122238742,130.53744164450003,130.51538230316808,130.49881452477604,130.50294663722684
65,130.45080008666557,130.72927284257693,130.46626764143892,130.69208410973286,130.45217414312455,130.7005981693331,130.5413343544134,130.68953454085934,130.5026734596044,130.69960772567362
70,130.45237374726224,131.0152462281323,130.46754460152297,130.92976781510365,130.4534227552817,130.97365648171422,130.54259143668145,130.86058033454594,130.50391822007617,130.89021194425965
75,130.45289156869015,131.29098891461956,130.46795778220638,131.1609824423904,130.45382581871536,131.2375788786164,130.54299737706188,131.028541729307,130.5043197252094,131.07489134009205
80,130.4530619584076,131.5568412928517,130.4680914720451,131.3858878951158,130.45395593001814,131.49265187035923,130.54312846314178,131.19346357302626,130.50444923190207,131.25381251228615
85,130.45311802509673,131.8131496806213,130.4681347289457,131.60465110194278,130.45399793059835,131.73916599712504,130.5431707932649,131.35539739349448,130.50449100454628,131.42714933309378
90,130.4531364737995,132.06025393056606,130.46814872520392,131.81743811744914,130.45401148858224,131.97740645203206,130.54318446243178,131.5143962040417,130.50450447838313,131.59507426932655
