,NE_MBB,NE_OH,NE_OP,SC_OH,SC_OP,SC_SLP,SE_SLP,SE_LSP
Sterman,4.794936829038762,4.334806466744688,4.373412596873072,1.944935667861958,1.5016858705743343,1.1737395782268703,1.3063053185703943,1.302231913592771
trf/linear ,3.7583478460563016,3.5003775153916217,3.4417148948845604,1.3864329162052225,1.0456393944311904,0.9539684519969396,1.0517399965643552,1.045124367754467
trf/linear (constrained),4.5278107681508555,4.0130577546114425,4.126203570350873,1.7752657635615128,1.3318511995861757,1.0300278857227592,1.1561321601236838,1.1500573520506243
trf/soft_l1 ,4.063343991070705,,3.706512251702101,,,,,1.240611349305699
trf/soft_l1 (constrained),4.754019930971026,4.193821759792735,4.299854884169601,1.818366568864376,1.3622452345203555,,,
trf/huber ,4.088614070821563,3.9009858245612588,3.7297831349666177,,,,,
trf/huber (constrained),4.744795621880862,4.231045337610287,4.308648229957694,1.832209139724135,1.3767617544171078,1.0677855134021896,1.203442048928978,1.1912159147896784
trf/cauchy ,4.5321479471246064,,,,,,,
trf/cauchy (constrained),,,,,1.4506325567737597,,,
trf/arctan ,,,,,,,,
trf/arctan (constrained),,,,,,,,
dogbox/linear ,,,,,,,,
dogbox/linear (constrained),,,,,,1.0300324807358676,1.1561309394170027,
dogbox/soft_l1 ,,,,,,,,
dogbox/soft_l1 (constrained),,,,,,,,
dogbox/huber ,,,,,,,,
dogbox/huber (constrained),,,4.336335898279331,1.8324330763461705,,1.0677900867312045,,
dogbox/cauchy ,,,,,,,,
dogbox/cauchy (constrained),,,,,,,,
dogbox/arctan ,,,,,,,,
dogbox/arctan (constrained),,,,,,,,
