,NE_MBB,NE_OH,NE_OP,SC_OH,SC_OP,SC_SLP,SE_SLP,SE_LSP
forest_start,2.3586919181008085e-32,1.0280307155949729e-36,1.709515963240419,5.429455926363461,3.6525648093987884,4.01354449035815,4.285854011136034,4.089084454248393
soil_start,118.4462653077918,99.35253426564556,116.78125124275287,50.74495608189079,59.953954540790605,71.49006523310746,102.08016963976101,139.9083466417518
B,383.6539044876274,999.9729774709546,999.7008541491916,525.9019507047403,207.30736801679683,174.73549924610248,146.682760967269,158.40874817561632
phi_ab,9.437211917153263e-08,0.0009155518276774004,0.051999178498378616,0.0525499278396335,0.0036703035869618287,0.2844824893765969,0.20864757815708013,0.2613991793308608
k,0.005876763852276682,0.0029220209896322303,0.0018974438921209188,0.0029864066788642283,0.009434343447908134,0.002751707494934704,0.002979961193014352,0.0010059482961871963
v,1.3714963474631918,0.9245772270245479,0.5308065818632955,1.4999999999999998,1.228228997194642,0.7266714975974856,0.9027189273601981,0.8133989502480015
phi_ba,1.2445108170702533e-09,2.1607084845983838e-37,0.03318021027372328,0.04999655653654491,3.0821206591347554e-07,0.04999995926933478,0.0023423318180547234,0.0365208627236886
phi_bs,0.007536179520882591,0.0065593594856345645,0.007883948239487341,0.0024323793644400946,0.0019923580202983976,0.005619186121534606,0.00452915556089074,0.005903048531467745
phi_sa,0.005942356419792384,0.012317948120323174,0.006521510280086968,0.0013319583215817721,0.000929724091266599,0.011209040946038609,0.006191644251654836,0.00552510484084919
RMSE,3.7583478460563016,3.5003775153916217,3.4417148948845604,1.3864329162052225,1.0456393944311904,0.9539684519969396,1.0517399965643552,1.045124367754467
