,Sterman biomass,NE_MBB trf_linear  biomass,NE_MBB trf_linear (constrained) biomass,NE_MBB trf_soft_l1  biomass,NE_MBB trf_soft_l1 (constrained) biomass,NE_MBB trf_huber  biomass,NE_MBB trf_huber (constrained) biomass,NE_MBB trf_cauchy  biomass
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.1
1,11.60367265989506,11.792349213034944,11.762233990090042,11.780103489184352,11.747723838396038,11.773219863363996,11.750693181222717,11.736591533588932
2,13.791525071429115,14.176860390863855,14.118438170943342,14.152240868088871,14.086854816679386,14.13926206304491,14.094042145656502,14.06591632228866
3,15.954451227454273,16.53735958153227,16.45242652559074,16.500223795435204,16.401690919066866,16.481879198972358,16.413983323718128,16.37191121449586
4,18.096647650447082,18.87370320071316,18.764033336000757,18.823911170946577,18.692457620319967,18.800876763708743,18.71046407995629,18.654527049656316
5,20.220801344303055,21.185795952913455,21.053133400745885,21.123220581489612,20.95935472848658,21.096123565689766,20.983465157349233,20.91375018883723
6,22.328674044841037,23.473580999381838,23.319633833417207,23.39811466946507,23.202564712013025,23.367537368110057,23.232993832271788,23.149595070323866
7,24.421427905844936,25.737033023947397,25.563468352740337,25.648591812906172,25.422257987167324,25.61507502606979,25.459079086882777,25.362098964018877
8,26.499820464382882,27.976153109539183,27.784593115353175,27.874679429242555,27.61859645286937,27.838725371959928,27.661768044828133,27.55131810221709
9,28.564327899821865,30.190964813877454,29.982983560400378,30.07642897623613,29.79173594714297,30.038503884721607,29.841123244558784,29.71732472274716
10,30.61522639267926,32.38151107634048,32.15863194837949,32.253912104477756,31.94182800561939,32.214448573141986,31.997220493427182,31.86020474467377
11,32.65264773112338,34.54785172245453,34.31154539394869,34.40721762184217,34.06902114965814,34.36661671746459,34.13014713927105,33.98005589873859
12,34.67661842087739,36.690061411261325,36.44174426085191,36.53644904884066,36.17346184678676,36.49508223716243,36.240000651165225,36.07698619461835
13,36.68708785590722,38.80822791931563,38.54926082904991,38.64172261554445,38.25529523649991,38.59993352769219,38.32688743491835,38.151112643994296
14,38.6839490191693,40.902450686144164,40.63413817089211,40.7231655960134,40.31466568410011,40.681271656460915,40.39092183064398,40.20256018210796
15,40.66705395219991,42.97283956660427,42.6964291908144,42.780914905749775,42.351717206005965,42.73920883929325,42.432225254175094,42.23146074619166
16,42.63622548021296,45.019513749651175,44.736195795040906,44.81511590762955,44.36659379734819,44.77386713965035,44.45092545395807,44.237952479896286
17,44.59126620488704,47.042600812876465,46.75350816612511,46.82592138554986,46.35943968419215,46.785377347376496,46.44715586197641,46.2221790403589
18,46.53196546929652,49.04223588923653,48.74844412311941,48.8134906547883,48.33039951688108,48.77387800404513,48.42105502220676,48.18428898993847
19,48.458104794940056,51.018560927542545,50.72108855248822,50.7779887851161,50.27961851688026,50.73951454942307,50.372766083727264,50.12443525858162
20,50.36946215194087,52.971724032112974,52.67153289807666,52.719585917889816,52.20724258655197,52.68243856905616,52.30243634828683,52.04277466570317
21,52.26581532732946,54.901878869880235,54.59987470084813,54.63845666221901,54.113418389138864,54.60280712708379,54.21021686417221,53.939467492672996
22,54.14694458855928,56.80918413545664,56.506217180931046,56.53477955824506,55.9982934046395,56.50078217150629,56.09626205976354,55.81467709868968
23,56.01263479089741,58.69380306638091,58.3906688559249,58.408736597823456,57.862015966062934,58.37653000152713,57.960729411372434,57.66856957413111
24,57.862677042100394,60.555903002113375,60.253343190514556,60.260512794658105,59.70473527963948,60.23022078845914,59.80377914090083,59.50131342649973
25,59.69687001185644,62.39565498141608,62.094358273307904,62.09029579731683,61.52660143186458,62.06202814315377,61.625573939607015,61.31307929489434
26,61.5150209541599,64.21323337360906,63.91383651750147,63.898275539654264,63.32776538570912,63.87212872408147,63.42627871486392,63.10403968959279
27,63.31694649623228,66.0088155398855,65.71190438253187,65.68464392404853,65.10837896790208,65.66070188112985,65.20606035727806,64.87436875385646
28,65.10247323652767,67.7825815214318,67.48869211431864,67.44959453356888,66.86859484885383,67.42792933094547,66.96508752593132,66.62424204549681
29,66.87143818584649,69.53471375156089,69.24433350206948,69.19332236977273,68.60856651651763,69.17399486026567,68.70353044983008,68.35383633609642
30,68.62368907897867,71.26539678945043,70.97896564991827,70.91602361330595,70.32844824527037,70.89908405419597,70.42156074391353,70.06332942606835
31,70.35908457913264,72.97481707339568,72.69272876191424,72.61789540487565,72.02839506071658,72.6033840468113,72.11935123819444,71.75289997398048
32,72.0774943933343,74.66316269175456,74.38576593908664,74.29913564449213,73.70856270117635,74.28708329181,73.79707581879155,73.42272733877421
33,73.77879931374599,76.33062316998735,76.05822298748103,75.95994280715198,75.36910757649952,75.95037135124541,75.45490927976884,75.07299143367852
34,75.46289119726774,77.97738927238466,77.71024823620833,77.6005157733662,77.0101867247508,77.59343870060744,77.0930271848296,76.70387259076537
35,77.12967289369895,79.60365281724026,79.3419923646696,79.22105367313286,78.6319577672293,79.2164765487381,78.71160573802538,78.31555143521604
36,78.77905813104965,81.20960650436444,80.95360823822318,80.82175574212157,80.23457886221807,80.81967667124377,80.31082166273653,79.90820876847401
37,80.41097136521276,82.79544375395412,82.54525075164918,82.40282118897935,81.8182086578025,82.40323125622108,81.89085208826334,81.48202545955071
38,82.02534760007903,84.36135855593942,84.1170766798413,83.96444907279087,83.38300624404786,83.96733276124546,83.45187444343846,83.03718234382939
39,83.62213218324432,85.90754532901668,85.66924453522138,85.50683818983154,84.92913110478614,85.51217378068536,84.99406635673274,84.57386012878041
40,85.20128058168599,87.43419878865627,87.20191443142703,87.03018696884418,86.456743069227,87.03794692250447,86.51760556238062,86.09223930606092
41,86.76275814114123,88.9415138234425,88.7152479528717,88.53469337414984,87.96600226357855,88.54484469380017,88.02266981209794,87.5925000695234
42,88.30653983238061,90.42968537916336,90.20940802981791,90.02055481597291,89.45706906283756,90.03305939440182,89.50943679200613,89.07482223870372
43,89.83260998711614,91.89890835012064,91.68455881864058,91.48796806742223,90.9301040428876,91.5027830179189,90.97808404441295,90.53938518739909
44,91.34096202589971,93.34937747717868,93.14086558698949,92.93712918762326,92.38526793302377,92.95420715968676,92.42878889413178,91.98636777698184
45,92.83159818004154,94.78128725211114,94.57849460358746,94.3682334505443,93.82272156900684,94.38752293110899,93.86172837904937,93.41594829412651
46,94.304529209301,96.19483182784278,95.99761303242477,95.78147527910114,95.24262584673528,95.80292087994144,95.27707918467749,94.8283043926556
47,95.75977411686421,97.59020493421615,97.39838883113254,97.17704818416249,96.6451416766106,97.20059091610253,96.67501758244578,96.2236130392342
48,97.1973598629189,98.96759979894294,98.7809906533355,98.55514470811079,98.03042993866147,98.58072224263096,98.05571937151291,97.60205046266613
49,98.61732107796051,100.32720907342639,100.14558775480234,99.91595637264368,99.39865143848151,99.94350329144388,99.41935982389124,98.96379210656394
50,100.01969977681138,101.66922476316485,101.49234990322557,101.25967363052679,100.74996686402798,101.28912166357712,100.76611363269593,100.30901258518338
51,101.40454507420299,102.99383816246878,102.82144729147645,102.58648582103302,102.08453674332083,102.61776407361516,102.09615486334359,101.63788564222867
52,102.77191290265495,104.30123979324236,104.13305045419186,103.89658112882464,103.4025214030749,103.9296162980416,103.40965690753893,102.95058411245007
53,104.12186573328526,105.59161934759936,105.42733018756054,105.1901465460533,104.7040809282928,105.22486312726173,104.70679243989922,104.24727988586791
54,105.45447230009694,106.86516563409816,106.7044574721851,106.46736783747127,105.98937512284006,106.50368832106794,105.9877333770769,105.52814387446948
55,106.76980732820968,108.12206652739647,107.9646033989044,107.72842950836223,107.2585634710204,107.76627456733559,107.25265083925058,106.79334598123607
56,108.06795126643671,109.36250892113877,109.20793909746875,108.97351477511435,108.51180510016441,109.01280344375265,108.50171511386301,108.04305507136735
57,109.34899002454694,110.58667868390245,110.43463566796645,110.2028055382718,109.74925874424126,110.24345538240073,109.73509562149303,109.27743894557912
58,110.61301471549967,111.79476061803925,111.64486411490628,111.41648235791183,110.97108270850046,111.45840963701745,110.95296088375525,110.49666431535927
59,111.86012140289196,112.98693842125941,112.83879528386645,112.61472443120607,112.17743483514701,112.65784425278264,112.15547849312829,111.70089678007353
60,113.09041085381712,114.16339465081508,114.01659980062449,113.79770957203411,113.3684724700513,113.84193603848094,113.34281508461811,112.89030080582054
61,114.30398829729585,115.32431069014818,115.17844801268781,114.96561419252653,114.54435243049278,115.01086054090362,114.51513630916924,114.06503970594122
62,115.50096318840878,116.46986671787646,116.32450993314804,116.11861328642284,115.705230973934,116.16479202136145,115.67260680874074,115.22527562309398
63,116.6814489782297,117.60024167899815,117.45495518678626,117.25688041413711,116.85126376782036,117.3039034341884,116.81539019296977,116.37116951281244
64,117.84556288963287,118.71561325820325,118.56995295835947,118.38058768943161,117.98260586039882,118.42836640712427,117.943649017349,117.50288112846735
65,118.99342569902466,119.81615785518538,119.66967194300149,119.48990576760451,119.09941165254777,119.53835122347061,119.05754476284865,118.62056900755904
66,120.12516152402898,120.90205056185415,120.75428029867449,120.58500383510409,120.2018348706085,120.6340268059217,120.15723781691777,119.72439045927126
67,121.2408976171379,121.97346514135367,121.82394560060986,121.66604960048716,121.29002854020817,121.71556070197741,121.24288745580233,120.81450155322082
68,122.3407641653219,123.0305740087977,122.87883479767929,122.7332092866445,122.36414496106266,122.78311907085111,122.3146518281217,121.89105710934149
69,123.42489409558044,124.07354821363703,123.9191141706393,123.7866476242209,123.42433568274713,123.83686667179067,123.37268793964729,122.954210688844
70,124.49342288639983,125.10255742357874,124.94494929219455,124.82652784616151,124.47075148142093,124.8769668537353,124.41715163923065,124.00411458619696
71,125.54648838507444,126.11776990998159,125.95650498882654,125.85301168332049,125.5035423374934,125.90358154623561,125.44819760583049,125.04091982207696
