,Sterman soil,NE_MBB trf_linear  soil,NE_MBB trf_linear (constrained) soil,NE_MBB trf_soft_l1  soil,NE_MBB trf_soft_l1 (constrained) soil,NE_MBB trf_huber  soil,NE_MBB trf_huber (constrained) soil,NE_MBB trf_cauchy  soil
-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,129.3,129.3,129.3,129.3,129.3,129.3,129.3,129.3
1,128.09529839205973,128.60237307046677,128.15966892825503,128.93525351531073,128.3551542150752,128.9506674887611,128.35147169281177,129.09405338619675
2,126.92889206592433,127.92704119389333,127.05651680191738,128.5829692833742,127.43962266245043,128.6132978140825,127.43243745813447,128.89584535500256
3,125.8000186172092,127.27369248433779,125.9899435646917,128.24299492559786,126.55294524307295,128.2877490690717,126.54244542273878,128.70528909764147
4,124.70800390315422,126.64201535134062,124.9593525211166,127.91517750190907,125.6946679712956,127.97387849866409,125.68104644034649,128.52229766309594
5,123.6522298777298,126.03169897394658,123.96415088904844,127.59936389012374,124.86434255992559,127.67154289310334,124.84779447414336,128.34678410471716
6,122.63211630866604,125.44243366004535,123.00375020854904,127.29540106349964,124.06152613829077,127.38059887826996,124.04224688073234,128.17866159140348
7,121.64710953593287,124.87391112948053,122.07756665645105,127.00313630307674,123.2857810492771,127.10090313959064,123.26396462847578,128.01784349527514
8,120.69667516609923,124.32582474321903,121.18502129496952,126.72241736535986,122.53667469670117,126.83231260025802,122.51251246941906,127.86424346276978
9,119.78029312868473,123.79786969254737,120.32554027199518,126.45309261786765,121.81377942646849,126.57468456644179,121.78745907685702,127.7177754734976
10,118.8974542290908,123.28974315756926,119.49855498468578,126.19501115065947,121.11667243131245,126.32787684773179,121.08837715656871,127.57835388973413
11,118.0476576912405,122.80114444145107,118.70350221435962,125.94802286935075,120.44493567249519,126.09174785842875,120.41484353730536,127.44589349854759
12,117.23040937768782,122.3317750850628,117.93982423841112,125.71197857350795,119.79815581400119,125.86615670365784,119.76643924456057,127.32030954799758
13,116.44522048673765,121.88133896546896,117.20696892346061,125.4867300232576,119.17592416610489,125.65096325320846,119.14274956061752,127.20151777847042
14,115.6916065933666,121.4495423809019,116.50438980291861,125.27212999623116,118.57783663607555,125.44602820527803,118.54336407315502,127.08943444996027
15,114.96908694279665,121.03609412426873,115.83154614141837,125.06803233646886,118.00349368437823,125.25121314178928,117.96787671418888,126.98397636592523
16,114.27718393277115,120.6407055468188,115.18790298804517,124.87429199654962,117.45250028514266,125.06638057658724,117.41588579075692,126.88506089421519
17,113.61542273867624,120.26309061328458,114.57293121990307,124.69076507395198,116.92446588996577,124.8913939975535,116.8869940084823,126.79260598547144
18,112.983331047995,119.9029659495697,113.98610757726729,124.51730884245626,116.41900439432688,124.72611790347597,116.38080848894221,126.70653018932389
19,112.38043887918742,119.56005088387388,113.42691469134687,124.35378177924858,115.93573410605197,124.57041783635881,115.89694078160895,126.62675266865476
20,111.80627846620997,119.23406748200044,112.89484110550852,124.2000435882726,115.47427771538268,124.42416040973913,115.43500687100513,126.5531932121536
21,111.26038419431528,118.92474057747748,112.38938129067527,124.05595522028442,115.0342622662953,124.28721333348403,114.99462717961524,126.48577224535278
22,110.74229257602789,118.63179779703194,111.9100356555045,123.92137888999405,114.61531912878547,124.15944543546783,114.57542656701585,126.42441084030474
