,Sterman biomass,SC_SLP trf_linear  biomass,SC_SLP trf_linear (constrained) biomass,SC_SLP trf_huber (constrained) biomass,SC_SLP dogbox_linear (constrained) biomass,SC_SLP dogbox_huber (constrained) biomass
-1,0.0,0.0,0.0,0.0,0.0,0.0
0,4.1,4.1,4.1,4.1,4.1,4.1
1,8.869037854167152,8.734047733313952,8.743432222071952,8.724959595822657,8.74344053871189,8.72498492780223
2,11.394320810057993,11.157194638875797,11.176989509125868,11.137382791292467,11.17686484812574,11.137298353853724
3,14.32794479039739,14.03249122020747,14.06368053085759,14.000278524284782,14.063307704429683,13.999973304307055
4,17.708194087152375,17.408737659609866,17.452205880134173,17.36251259598308,17.451503756971217,17.36190736531514
5,21.56702993448368,21.326682719523017,21.383144089745716,21.265041848288412,21.38207175653641,21.264095192698875
6,25.92619819096693,25.813605452332215,25.883522466024125,25.735525235706127,25.882081935393217,25.73423633208192
7,30.792937058049816,30.877457435500464,30.96095326099599,30.78248057479928,30.959187408831788,30.780887447442332
8,36.155712232430986,36.501296529515415,36.59806969315099,36.38970815257071,36.596054879910334,36.387880860482866
9,41.98059625741719,42.63899963764999,42.74825294417649,42.51196073259657,42.74608690952671,42.50999001316172
10,48.20904144396359,49.21335249214505,49.33375083721489,49.07295561210109,49.33153770292315,49.07093869664754
11,54.75779924600866,56.117469266610705,56.24714120203047,55.966688121494336,56.24497636891924,55.96471436050039
12,61.52154967385179,63.22003355042218,63.35662777668687,63.06255487610252,63.354585743953564,63.06069406845857
13,68.37840227909622,70.37412040742713,70.51492028382103,70.21407083234897,70.51304774245257,70.21236653388705
14,75.19787165692811,77.42853222299404,77.57062008024789,77.27013806733443,77.56893519301188,77.26860679593266
15,81.85035427407075,84.23992290270779,84.38037440918635,84.08715832929765,84.37887149820982,84.08579396618602
16,88.21672462121427,90.68374236386418,90.81982331713193,90.54002432311984,90.81848087518553,90.53880574351827
17,94.19658305903103,96.66231347022851,96.79165020337537,96.53028908826906,96.79043967306707,96.52918857605991
18,99.71397466133723,102.10906194686093,102.22976267070078,101.99051027705397,102.22865583998494,101.98950064288388
19,104.71996840278348,106.98880203290706,107.09951769034168,106.88464607802275,107.09849150429281,106.88370530283392
20,109.19214855078005,111.2947462364715,111.39467192805498,111.20515106308639,111.39371054284916,111.20426427746523
