,Sterman biomass,SE_LSP trf_linear  biomass,SE_LSP trf_linear (constrained) biomass,SE_LSP trf_soft_l1  biomass,SE_LSP trf_huber (constrained) biomass
-1,0.0,0.0,0.0,0.0,0.0
0,4.1,4.1,4.1,4.1,4.1
1,8.285651999908685,8.15455074719141,8.168839373276086,8.132850948844716,8.14232679100486
2,10.356591281640105,10.116216937380242,10.14638345704995,10.070388927943066,10.089747386459974
3,12.776132168682196,12.45793937589656,12.505548448116818,12.385733511686642,12.415186598316582
4,15.585147296933302,15.230853615608838,15.297370965953238,15.130393396127916,15.16990786178284
5,18.822469483835647,18.483862544610478,18.570560868913663,18.3538817041545,18.40313492022378
6,22.52187511794467,22.25944891248744,22.367294438928607,22.099559264197573,22.15790837640712
7,26.70832309627136,26.588450938185307,26.717973992258464,26.399416681266278,26.4658881296098
8,31.39360909372579,31.48411275092078,31.635269895622532,31.26809304837225,31.341398241687344
9,36.57179109968149,36.936039324797406,37.108080074064596,36.69674888905019,36.775328714363866
10,42.21496824206068,42.905016914157464,43.09637392771256,42.64774935259133,42.729845533795135
11,48.27019799949999,49.31989673401579,49.52812321161425,49.0513634478841,49.13510953334145
12,54.65843498843089,56.07774130593934,56.299520555323404,55.80570387503974,55.889224435534516
13,61.27627493855827,63.04807814697658,63.27932528972837,62.780793159330834,62.86229826369759
14,68.00092660059549,70.08136970754009,70.31743259580423,69.82691298644333,69.9047770035048
15,74.69822842917306,77.02082977789958,77.25677659005642,76.78640630442327,76.85922486700031
16,81.23280609633406,83.71579361189899,83.94675312412309,83.5071535948157,83.57377810881164
17,87.47885731894578,90.03433589685554,90.25584051122888,89.85539746653859,89.91495053786238
18,93.32978999913932,95.87296288739314,96.08124087829908,95.72569262729101,95.77756899105701
19,98.70515942770137,101.16195905930783,101.35413350416432,101.04650056361459,101.09035703372952
20,103.55399314381972,105.86605906808143,106.04023282288257,105.78104856772059,105.81678480118363
21,107.85442925094732,109.98114211495003,110.1363730061455,109.92412407980089,109.95185504255528
22,111.61033730516388,113.5282921841375,113.6644821979381,113.49614945016364,113.51617081984863
23,114.84602869904353,116.5467271788137,116.66445918528312,116.53606159098128,116.54881038638712
24,117.60023765598707,119.08686652952477,119.18722190309778,119.09429503672186,119.10030865581469
25,119.92034549219717,121.20437424875627,121.28875778795336,121.22673148535075,121.2266085078563
26,121.8574757935213,122.95556711219221,123.02555600050344,122.99002336879404,122.9843888948677
27,123.46274126554772,124.39422925359821,124.45145368305668,124.43834166137852,124.42781892234387
28,124.78465577245736,125.56966142777686,125.61571765266731,125.62137816892364,125.60656704213504
29,125.86756265240442,126.52570003051731,126.56209242404869,126.58333523472014,126.56479739589984
30,126.75086014814885,127.30043057596058,127.32853732437938,127.36262365235898,127.34087351888783
31,127.46879832995363,127.92635530600846,127.94741199880536,127.99202435034842,127.96752469706526
32,128.05065061406785,128.43082693929864,128.44592283554374,128.49912233972154,128.47228343031293
33,128.5211053272982,128.83661327838135,128.84669594718343,128.9068749828735,128.87805616632528
34,128.90076549750682,129.1625022931012,129.16838732334747,129.2342223660706,129.20373526377085
35,129.20668165572005,129.42389185274868,129.42627523418918,129.49668278257732,129.4647953851571
36,129.45287081637872,129.63333297714564,129.63280450186372,129.7069015209078,129.67384269404886
37,129.65079525817433,129.80101206178045,129.7980686706807,129.87513806891423,129.84110211968346
38,129.80978859252275,129.93516800805656,129.9302264285873,130.00968752924152,129.97483860505426
39,129.9374254563893,130.0424463502015,130.0358546672932,130.11723832445148,130.0817145073585
40,130.03983643609106,130.128195738294,130.12024373962123,130.20317160295863,130.1670886270659
41,130.1219726730831,130.19671355938377,130.18764182424988,130.27180920851777,130.23526377316597
42,130.18782588150665,130.2514477858427,130.24145556498348,130.32661739118387,130.2896900719214
43,130.2406098270146,130.29516181893635,130.2844137961585,130.3703731130733,130.33313089060914
44,130.28290908652852,130.3300684581567,130.31870050556498,130.40529915587197,130.36779759339888
45,130.3168003946723,130.35793836468474,130.3460624095367,130.43317346393343,130.39545856799666
