,NE_MBB,NE_OH,NE_OP,SC_OH,SC_OP,SC_SLP,SE_SLP,SE_LSP
forest_start,2.7465898199524662e-09,1.329718545945448,0.10331917620774413,5.429454204745002,3.6525235087211376,4.1000000000000005,4.262823147009951,4.144374375655008
soil_start,113.470860157689,94.49455721594677,112.3767110301302,50.74498394025032,59.9539553883371,74.50000000000001,105.50000000000013,143.30000000000004
B,307.4587271002265,946.6729975034036,246.23156354252143,525.9051772707786,207.3971698632399,175.4968422518821,145.77237863414567,168.27359278492085
phi_ab,1.4538598990336729e-12,0.0029362302065568365,0.00582359610420151,0.052546666625661376,0.003674922327683497,0.2873723079641829,0.2015844350503457,0.2759374369694331
k,0.007306196651551959,0.003428367875991481,0.00797114925144925,0.0029863342669865364,0.009430374966915085,0.0025352324924051532,0.003303243453648857,0.0007878816138400796
v,1.1702478000659098,0.5286724300445504,1.3232074241660892,1.4999999999999998,1.2281395565909434,0.7191311391216716,0.9313394990578284,0.8125906374574339
phi_ba,2.696533001539517e-21,2.31729193894417e-07,2.6110892810767797e-12,0.04999278328946728,8.371028972337389e-06,0.04999998750017095,1.3069588987277752e-05,0.04999583494660928
phi_bs,0.004756054145197572,0.00500238451898964,0.005514813990100887,0.002432404132160029,0.0019923590422298823,0.0062806908317607785,0.0053386966667831465,0.007139639552932073
phi_sa,0.003196073205966159,0.009180625848170271,0.0040998244582774,0.0013320018159262462,0.0009297254746549637,0.012864957564065829,0.007588298736755876,0.0068220015580902115
RMSE,2.2642679021138865,2.410626005314358,2.155747972944937,0.9580868938577036,0.6858495471873183,0.5192436622861165,0.5995427795228127,0.6430805926230654
